Nombre,Anyo,Roles,Peliculas,Premios
Neal Jones,1960,Reparto,"Dirty Dancing, Glengarry Glen Ross: Éxito a cualquier precio, Generation Kill",No tiene premios
Catherine Kellner,1970,Reparto. Producción,"Pearl Harbor, 200 cigarrillos, Más allá de la muerte",Otros premios
Joseph Ragno,1936,Reparto,"Cadena perpetua, The Phantom (El Hombre Enmascarado), Daylight (Pánico en el túnel)",Otros premios
Anne-Marie Bubke,-1,Reparto,"Die Rosenheim-Cops, Heidi, TKKG und die rätselhafte Mind-Machine",No tiene premios
Moritz Bleibtreu,1971,Reparto. Producción. Dirección,"Llamando a las puertas, El experimento, Im Juli",Otros premios
Allegra Curtis,-1,Reparto. Maquillaje. Vestuario,"Joe contra el volcán, Flashback - Mörderische Ferien, L.A. Heat",No tiene premios
Florian Fitz,1967,Reparto. Banda sonora,"Equilibrium, Llamando a las puertas, Bettys Diagnose",Otros premios
Francis Fulton-Smith,-1,Reparto. Producción,"Oktoberfest: sangre y cerveza, Spides, Apagón",Otros premios
Wolfgang M. Bauer,-1,Reparto,"Siska, Der Dicke, Crossing Lines",No tiene premios
Gabriela Benesch,-1,Reparto,"Frühlingserwachen, Leas Hochzeit, Ainoa",No tiene premios
Maria Bachmann,1964,Reparto. Guion. Dirección,"Thema Nr. 1, En el lugar del crimen, All I Never Wanted",No tiene premios
Mariella Ahrens,-1,Reparto,"Ein Fall von Liebe, Ein Fall von Liebe - Annas Baby, Ein Fall von Liebe - Saubermänner",No tiene premios
Joachim R. Iffland,-1,Reparto. Banda sonora,"Die weiße Rose, Sterben ist gesünder, Midsommar Stories",No tiene premios
Avalon Anders,-1,Reparto,"Aquellas juergas universitarias 2, Medias de seda, Sex Files: Alien Erotica",No tiene premios
Zen Gesner,1970,Reparto. Producción,"El farsante, Vaya par de idiotas, Dos tontos muy tontos",No tiene premios
Stephanie Champlin,-1,Reparto,"Midnight Tease, El vendedor de helados, Anthony's Desire",No tiene premios
Christine Harte,-1,Reparto. Maquillaje. Producción,"Echos of Enlightenment, El hombre invisible, Diagnosis Superstar",No tiene premios
Raymond Storti,-1,Reparto. Producción. Equipo ejecutivo,"I Love You, But, La guerrera amazona, Traficante de muerte",No tiene premios
Rose McGowan,1973,Reparto. Producción. Dirección,"Grindhouse: Planet Terror, Caramelo asesino, Grindhouse",Otros premios
Dan Gunther,-1,Reparto. Producción,"Héroes fuera de órbita, El ala oeste de la Casa Blanca, Lewis & Clark & George",No tiene premios
Brian Taylor,-1,Reparto,Lewis & Clark & George,No tiene premios
Salvator Xuereb,1965,Reparto,"Capitán América: El Soldado de Invierno, El gran Stan: El matón de la prisión, Asesinos natos",No tiene premios
Art LaFleur,1943,Reparto. Guion. Equipos adicionales,"The Sandlot: Historia de un verano, Cobra, el brazo fuerte de la ley, El terror no tiene forma",Otros premios
James Brolin,1940,Reparto. Producción. Dirección,"Traffic, Terror en Amityville, Almas de metal",Ganó 1 premio Primetime Emmy
Jerry Gardner,-1,Reparto. Equipos adicionales. Especialistas,"Intrépidos forajidos, Arma joven, Asesinos natos",No tiene premios
Richard Butterfield,-1,Reparto,"Nash Bridges, Henry Hill, Lewis & Clark & George",No tiene premios
Sally Jackson,-1,Casting. Reparto. Dirección,"Asesinos natos, Transformers, Mensajero del futuro",No tiene premios
Suzanne Mari,-1,Reparto. Guion. Dirección,"A Pornstar Is Born, Caribbean Queens, Las pesadillas de Jason",No tiene premios
Todd Field,-1,Dirección. Guion. Reparto,"Tár, Juegos secretos, En la habitación",Nominado para 6 premios Óscar
Ben Gazzara,1930,Reparto. Dirección. Guion,"De profesión: duro, Anatomía de un asesinato, El gran Lebowski",Ganó 1 premio Primetime Emmy
Lara Flynn Boyle,1970,Reparto. Producción. Banda sonora,"Happiness, Men in Black II (Hombres de negro II), Wayne's World: ¡Qué desparrame!",Nominado para 1 premio Primetime Emmy
Ron Kaell,-1,Reparto,"Disrupted, Trauma, Red Sleep",No tiene premios
David Booth,-1,Reparto. Especialistas,"Scream: Vigila quién llama, The Chronicle, La noche de los cristales rotos",No tiene premios
Steven Anthony Jones,-1,Reparto,"Patch Adams, Jack, Sangre por sangre",No tiene premios
George Maguire,1946,Reparto. Producción,"Por trece razones, Generations, En busca de la felicidad",Otros premios
Ted Draper,-1,Reparto,Farmer & Chase,No tiene premios
Luis Oropeza,-1,Reparto. Localización,"Troya, Asesinato en 8 mm, Psychic Detective",No tiene premios
David D. Renaud,-1,Especialistas. Reparto,"El negociador, Más allá de los sueños, Nueve meses",No tiene premios
Dan Pinto,-1,Reparto,"Atrapados, The Guiding Light, Las aventuras de Pete & Pete",No tiene premios
Dawn Lambing,-1,Reparto. Dirección. Guion,"Roed, Misántropo, Las invasiones bárbaras",Otros premios
Pat Morita,1932,Reparto. Guion. Producción,"Karate Kid (El momento de la verdad), Karate Kid III: El desafío final, Karate Kid II... La historia continúa",Nominado para 1 premio Óscar
John Mouganis,-1,Reparto. Guion. Producción,"Atrapados, Achilles' Love",No tiene premios
Michael McGurk,-1,Reparto,"Atrapados, Greg & Donny",No tiene premios
Harold Surratt,-1,Reparto,"The Blacklist, For Life: Cadena perpetua, Grand Army",No tiene premios
A.E. Vea,-1,Reparto,Atrapados,No tiene premios
Michelle Tucker,-1,Reparto,"Atrapados, Witness 2 Murder, Staring at Headlights",No tiene premios
Danny Nelson,-1,Reparto,"Medianoche en el jardín del bien y del mal, Tiempo de matar, El curioso caso de Benjamin Button",No tiene premios
Bruce Kirkpatrick,-1,Reparto. Especialistas,"12 monos, xXx 2: Estado de emergencia, Persecución mortal",Otros premios
Naseeruddin Shah,1950,Reparto. Música. Dirección,"A Wednesday, La Liga de los Hombres Extraordinarios, Sarfarosh",Otros premios
Govinda,1963,Reparto. Música. Producción,"Coolie No. 1, Partner, Holiday",Otros premios
Dimple Kapadia,1957,Reparto,"Tenet, Pathaan, Dil Chahta Hai",Otros premios
Raj Kiran,-1,Reparto. Banda sonora,"Karz, Ek Hi Maqsad, Hatya",No tiene premios
Somy Ali,-1,Reparto. Dirección,"Yaar Gaddar, Anth, Andolan",No tiene premios
Anupam Kher,1955,Reparto. Producción. Música,"Hotel Bombay, The Accidental Prime Minister, Saaransh",Nominado a 1 premio BAFTA
Pramod Moutho,1955,Reparto,"Jodhaa Akbar, Gadar: Ek Prem Katha, Roop Ki Rani Choron Ka Raja",No tiene premios
Brando Bakshi,-1,Reparto,"Izzat, Ab Kya Hoga, Do Rahain",No tiene premios
Beena Banerjee,1943,Reparto. Maquillaje. Equipos adicionales,"Koi... Mil Gaya, Qayamat Se Qayamat Tak, Radhe Shyam",No tiene premios
Birbal,1938,Reparto. Música. Equipos adicionales,"Sholay, Vidhaata, Kaali Topi Lal Rumaal",No tiene premios
John Savage,-1,Reparto. Producción. Composición,"Con todos los honores, El cazador, Hair",Otros premios
Bentley Mitchum,1967,Reparto. Guion. Dirección,"Verano en Louisiana, 21st Century Foxes- The Danenberg/Mitchum Cut, Baja Run",Otros premios
Sherrie Rose,-1,Reparto. Producción. Dirección de la segunda unidad o asistencia a dirección,"Me and Will, Falsa seducción, Black Scorpion",No tiene premios
Joseph Culp,1963,Reparto. Producción. Guion,"Mad Men, Los Cuatro Fantásticos, Welcome to the Men's Group",Otros premios
Paul Ben-Victor,1965,Reparto. Guion. Producción,"The Wire (Bajo escucha), El irlandés, Dale duro",No tiene premios
Karen Sheperd,1961,Reparto,"Hércules: Sus viajes legendarios, Cyborg 2: La sombra de cristal, Mentes criminales",No tiene premios
Gary Wolf,1969,Reparto,"Dos buenos tipos, Mentes criminales, CSI: Nueva York",No tiene premios
Paul Williams,1940,Música. Reparto. Composición,"El fantasma del Paraíso, La película de los Teleñecos, Los caraduras",Ganó 1 premio Óscar
Roxana Zal,1969,Reparto. Producción,"Testamento final, Instinto sádico, Amelia, mi hija, mi amor",Ganó 1 premio Primetime Emmy
Robert Carradine,1954,Reparto. Producción. Dirección,"La revancha de los novatos, 2013: Rescate en L.A., Lizzie Superstar",Otros premios
Franco Nero,1941,Reparto. Producción. Guion,"John Wick: Pacto de sangre, Django desencadenado, Django",Otros premios
Ruth Gabriel,-1,Reparto. Producción,"Días contados, El discípulo, Hielo",Otros premios
Imanol Arias,1956,Reparto. Dirección. Producción,"Cuéntame cómo pasó, El Lute (camina o revienta), Brigada central",Otros premios
Thomas Kretschmann,1962,Reparto,"King Kong, Resident Evil 2: Apocalipsis, Blade II",Otros premios
Antonio Valero,1955,Reparto,"La forja de un rebelde, El color de las nubes, El hombre nervioso",Otros premios
Lorenzo De Luca,-1,Guion. Dirección. Reparto,"Anthropophagus II, Occhi senza volto, Jonathan degli orsi",Otros premios
Steven Luotto,-1,Equipos adicionales. Reparto. Guion,"La leyenda del pianista en el océano, Guerrero solitario, Ator: el guerrero de hierro",No tiene premios
Arnau Vilardebó,-1,Reparto. Guion,"Zindagi Na Milegi Dobara, La quinta del porro, Pasión lejana",No tiene premios
Alessandro Borgese,-1,Especialistas. Dirección de la segunda unidad o asistencia a dirección. Reparto,"Daylight (Pánico en el túnel), RAF Facción del ejército rojo, Dogman",Otros premios
Ivan Zingariello,-1,Reparto,"A tres bandas, Melina - Con rabbia e con sapere, Viva Raiplay",No tiene premios
Thomas Ian Griffith,1962,Reparto. Producción. Guion,"Vampiros de John Carpenter, Karate Kid III: El desafío final, xXx",No tiene premios
Chris Mulkey,-1,Reparto. Guion. Producción,"El poder, Capitán Phillips, Una cuestión de género",Otros premios
Mark Carlton,-1,Reparto. Equipos adicionales. Dirección de producción,"RoboCop, Escuela de jóvenes asesinos, Desafío total",No tiene premios
Mushond Lee,-1,Reparto. Localización,"Conspiración, Los ángeles de Charlie: Al límite, 2001 maniacos",No tiene premios
Hillary Matthews,-1,Reparto,"Dulce hogar... ¡a veces!, Vaya par de idiotas, Algo pasa con Mary",No tiene premios
Courtney Gains,-1,Reparto. Producción. Dirección,"Sed de venganza, La ira de Becky, Texas Rising",Otros premios
Maury Sterling,1971,Reparto. Producción. Especialistas,"Coherence, Batman: La broma asesina, Ases calientes",Otros premios
Adam Gifford,-1,Reparto. Dirección. Guion,"Wristcutters: A Love Story, Naked Brown Men, Longmire",No tiene premios
Mon Confiado,-1,Reparto. Producción. Banda sonora,"Heneral Luna, Arisaka, Nanahimik ang gabi",Otros premios
Spanky Manikan,-1,Reparto. Música,"Himala, Código nuclear, Tayong dalawa",Otros premios
Louis Mandylor,1966,Reparto. Producción. Dirección,"Friends, Rambo: Last Blood, La deuda",Otros premios
Danny Trejo,1944,Reparto. Producción. Equipos adicionales,"Machete, Abierto hasta el amanecer, Predators",Otros premios
Ken Shamrock,1964,Reparto. Especialistas,"WWF St. Valentine's Day Massacre, SFZ Stealth Force Z, WWF SmackDown",No tiene premios
Lee Reherman,1966,Reparto. Producción,"Star Trek: En la oscuridad, El último gran héroe, Apagón en Los Ángeles",No tiene premios
Bobbie Blackford,-1,Reparto. Especialistas,"Total force, Mystery Men (Hombres misteriosos), Champions",No tiene premios
Robin Joi Brown,-1,Reparto,"Proyecto Equinox, Dead by Dawn, Champions",No tiene premios
Kimberly Rowe,-1,Reparto,"Justine: In the Heat of Passion, Justine: Un asunto privado, Justine: Seduction of Innocence",No tiene premios
Larry B. Scott,1961,Reparto. Dirección. Producción,"La revancha de los novatos, Karate Kid (El momento de la verdad), La revolución de los novatos",No tiene premios
Jeff Wolfe,-1,Dirección. Reparto. Especialistas,"Mourning Rock, Drive, Outer Banks",Ganó 1 premio Primetime Emmy
George 'Buck' Flower,1937,Reparto. Guion. Producción,"Regreso al futuro, Están vivos, Regreso al futuro: Parte II",No tiene premios
Alexandra Pic,-1,Reparto. Guion. Dirección,"Le miracle de la vie, Las dos huérfanas vampiras, Leur premier matin",Otros premios
Isabelle Teboul,-1,Reparto,"Las dos huérfanas vampiras, Quand les anges s'en mêlent..., La boîte",No tiene premios
Natalie Perrey,-1,Guion y continuidad. Reparto. Edición,"Acoso en la noche, La débauche, Mélodie pour Manuella",No tiene premios
Gudule,-1,Reparto,"Las dos huérfanas vampiras, Crimes en série, Ici Bla-Bla",No tiene premios
Bernard Charnacé,-1,Reparto,"L'orchestre rouge, Alta tensión, Le masque de la Méduse",No tiene premios
Nada Le Hoangan,-1,Reparto,Las dos huérfanas vampiras,No tiene premios
Nathalie Karsenty,-1,Reparto,"Mars Express, Las dos huérfanas vampiras, Viva Laldjérie",No tiene premios
Anissa Berkani-Rohmer,-1,Reparto. Dirección,"Killing Car, Las dos huérfanas vampiras, Et le temps s'en va...",No tiene premios
Véronique Djaouti,-1,Cámara y electricidad. Reparto. Dirección de la segunda unidad o asistencia a dirección,"Killing Car, Las dos huérfanas vampiras, Le masque de la Méduse",No tiene premios
Brigitte Lahaie,1955,Reparto. Dirección. Guion,"Une dernière fois, Acoso en la noche, La ejecutora",Otros premios
Jamie Renée Smith,1987,Reparto. Dirección. Cámara y electricidad,"Animal Kingdom, Hidden Canyons, Feliz Navidad y esas cosas",Otros premios
Kevin Wixted,-1,Reparto,"Lucas, El salvaje, Dallas: The Early Years",No tiene premios
Saxon Trainor,1963,Reparto,"Sand Castles, Conspiración, Sin identidad",Otros premios
David Brooks,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección. Guion,"Todo el dinero del mundo, El sindicato, Tentación",No tiene premios
Godfrey James,-1,Reparto. Banda sonora,"The Aphrodite Inheritance, The Legend of King Arthur, Trial",No tiene premios
Eileen T'Kaye,-1,Reparto,"Happy Holidays, Frances, Break a Leg",No tiene premios
Gerrit Graham,1949,Reparto. Guion. Arte,"Muñeco diabólico 2, Frenos rotos, coches locos, El fantasma del Paraíso",No tiene premios
Bryan J. Terrill,-1,Reparto,Magic in the Mirror: Fowl Play,No tiene premios
Eugen Cristian Motriuc,-1,Reparto,"Enemigo de mi enemigo, Amén., Fiul muntilor",No tiene premios
Ion Haiduc,-1,Reparto,"Bloodlust: Subspecies III, Subspecies: The Awakening, La magia de los gnomos",No tiene premios
Joan Severance,1958,Reparto. Producción. Equipos adicionales,"No me chilles, que no te veo, Dos pájaros a tiro, Vacaciones en el mar: La nueva tripulación",No tiene premios
Whip Hubley,1957,Reparto. Dirección. Arte,"Top Gun: Ídolos del aire, Decisión crítica, Species (Especie mortal)",No tiene premios
Sherrie Rose,-1,Reparto. Producción. Dirección de la segunda unidad o asistencia a dirección,"Me and Will, Falsa seducción, Black Scorpion",No tiene premios
Stoney Jackson,-1,Reparto. Producción. Guion,"Ángeles, Fanático, El tiempo de los intrusos",No tiene premios
Matt Roe,-1,Reparto. Guion,"Muñeco diabólico 2, Agárralo como puedas 33 1/3: El insulto final, Lois y Clark: Las nuevas aventuras de Superman",No tiene premios
Stephen Lee,1955,Reparto,"Juegos de guerra, Negociador, Burlesque",No tiene premios
Garrett Morris,1937,Reparto. Guion. Producción,"Los caraconos, Saturday Night Live, Buen rollito",Nominado para 1 premio Primetime Emmy
Terri J. Vaughn,1969,Reparto. Dirección. Producción,"The Steve Harvey Show, Friday, All of Us",Otros premios
Steven Kravitz,-1,Reparto,"Howard... un nuevo héroe, Impacto súbito, Estoy hecho un animal",No tiene premios
Shane Powers,1970,Reparto,"Babylon, Black Scorpion, Black Scorpion",No tiene premios
Lima Duarte,1930,Reparto. Dirección. Producción,"Roque Santeiro, Pecado Capital, Sargento Getúlio",Otros premios
Fernando Torres,-1,Reparto. Dirección. Guion,"Baila Comigo, Minha Doce Namorada, A Ostra e o Vento",Otros premios
Leandra Leal,-1,Reparto. Producción. Guion,"Cheias de Charme, Estamos Juntos, Senhora do Destino",Otros premios
Floriano Peixoto,-1,Reparto,"Carandiru, Os Dez Mandamentos, Kubanacan",Otros premios
Castrinho,-1,Reparto,"Balão Mágico, Chico City, Deus é Brasileiro",No tiene premios
Débora Bloch,-1,Reparto. Dirección. Equipos adicionales,"Noites do Sertão, Al vaivén, Bete Balanço",Otros premios
Hannah Brauer,-1,Reparto,A Ostra e o Vento,No tiene premios
Arduíno Colassanti,-1,Reparto. Cámara y electricidad. Sonido,"Como Era Gostoso o Meu Francês, El justicero, A Doce Mulher Amada",No tiene premios
Amanda Foster Freire,-1,Reparto,A Ostra e o Vento,No tiene premios
Ricardo Marecos,-1,Reparto,"Mandacaru, Tempos de Paz, A Ostra e o Vento",No tiene premios
Tom Everett Scott,1970,Reparto. Producción. Dirección,"The Wonders, El informador, ¡Porque lo digo yo!",Otros premios
Julie Delpy,1969,Reparto. Guion. Producción,"Tres colores: Blanco, 2 días en París, Antes de amanecer",Nominado para 2 premios Óscar
Vince Vieluf,1970,Reparto. Guion. Dirección,"Ratas a la carrera, Firewall, Epic Movie",No tiene premios
Phil Buckman,1969,Reparto,"Un hombre lobo americano en París, Spider-Man 3: El videojuego",No tiene premios
Julie Bowen,1970,Reparto. Producción. Dirección,"Terminagolf, Modern Family, Ed",Ganó 2 premios Primetime Emmy
Pierre Cosso,-1,Reparto. Composición. Edición,"Un hombre lobo americano en París, La romana, Charlemagne, le prince à cheval",No tiene premios
Thierry Lhermitte,1952,Reparto. Guion. Producción,"La cena de los idiotas, Crónicas diplomáticas, Le père Noël est une ordure",Otros premios
Tom Novembre,-1,Reparto. Composición,"Pret-a-porter, Un hombre lobo americano en París, Nicolas Le Floch",Otros premios
Maria Machado,-1,Reparto,"Un hombre lobo americano en París, Verano asesino, Los vengadores",No tiene premios
Ben Salem Bouabdallah,-1,Dirección. Reparto,"Un hombre lobo americano en París, Die Turmuhr zu Mekka",No tiene premios
Geneviève Bujold,1942,Reparto. Guion. Música,"Inseparables, Coma, Ana de los mil días",Nominado para 1 premio Óscar
Nancy Beatty,-1,Reparto,"Lars y una chica de verdad, Harriet la espía, Melodía de seducción",Otros premios
Emily Hampshire,1979,Reparto. Producción. Guion,"Schitt's Creek, 12 monos, Snow Cake",Otros premios
Graham Greene,1952,Reparto. Guion. Equipos adicionales,"La milla verde, Wind River, Bailando con lobos",Nominado para 1 premio Óscar
Lynne Adams,-1,Reparto,"X-Men: Fénix Oscura, Johnny Mnemonic, Matar a Santa",No tiene premios
Jonathan Scarfe,1975,Reparto. Producción. Dirección,"The Equalizer 2, Van Helsing, Infierno sobre ruedas",Otros premios
Susan Glover,-1,Reparto. Equipos adicionales. Dirección,"I'm Not There, Los gatos samurai, Ley criminal",No tiene premios
Minor Mustain,-1,Especialistas. Reparto. Dirección de la segunda unidad o asistencia a dirección,"Rollerball, Gothika, La mancha humana",No tiene premios
Philip Pretten,-1,Reparto,"Pánico nuclear, La mancha humana, Juego de honor",No tiene premios
Catherine Colvey,1951,Reparto,"I'm Not There, La huida (Deadfall), Las tres caras del crimen",No tiene premios
James Marsden,1973,Reparto. Banda sonora,"X-Men, Hairspray, Encantada: La historia de Giselle",Nominado para 1 premio Primetime Emmy
Amy Smart,1976,Reparto. Banda sonora,"Starship Troopers (Las brigadas del espacio), Ratas a la carrera, Crank: Veneno en la sangre",Otros premios
Frederick Lawrence,-1,Reparto. Guion. Cámara y electricidad,"Lo último que me dijo, Ahsoka, Off the Record",No tiene premios
Christopher Masterson,1980,Reparto. Producción. Dirección,"La boda de mi mejor amigo, Malcolm, La isla de las cabezas cortadas",Otros premios
Jay R. Ferguson,1974,Reparto. Producción,"Mad Men, The Real O'Neals, Los Conner",Otros premios
Christine Taylor,1971,Reparto. Producción. Guion,"Cuestión de pelotas, El chico ideal, Zoolander (Un descerebrado de moda)",Otros premios
Kim Murphy,1974,Reparto,"El invitado, City of Angels, Nivel 9",No tiene premios
Glenn Quinn,1970,Reparto,"Ángel, Roseanne, La maldición de Monkey Island",Otros premios
Suzanne Goddard-Smythe,-1,Dirección de casting. Casting. Reparto,"Escuela de rock, Detroit: Become Human, Almacén 13",Otros premios
Jennifer MacDonald,-1,Reparto. Producción. Guion,"Creados para obedecer, Viper, Wing Commander III: Heart of the Tiger",No tiene premios
Robert Patrick,1958,Reparto. Producción,"Terminator 2: El juicio final, The Faculty, Fuego en el cielo",Otros premios
Karl Bury,-1,Reparto. Equipos adicionales,"The Majestic, The Idea of Manhood, Brotherhood",No tiene premios
Tom Poster,-1,Especialistas. Reparto. Producción,"Star Trek: Primer contacto, Evasión sin límite, La enviada",No tiene premios
Deborah Worthing,-1,Reparto,"Target (El desafío), Frío como el acero. Buscando venganza, Perversión asesina",No tiene premios
Rebecca Rothstein,-1,Reparto,"Perversión asesina, El infiltrado",No tiene premios
Adam Gierasch,-1,Reparto. Guion. Dirección,"Spaghetti, Fractured, Cuentos de Halloween",Otros premios
Peter Brown,1935,Reparto. Producción. Banda sonora,"Foxy Brown, Adventureland, Los jóvenes invasores",Otros premios
Irwin Keyes,1952,Reparto. Guion. Producción,"Los Picapiedra, Los amos de la noche, Crueldad intolerable",Otros premios
Jason Schombing,1963,Reparto. Guion,"Timecop: Policía en el tiempo, El equipo A, Tin Man",No tiene premios
Malcolm McDowell,1943,Reparto. Producción. Guion,"La naranja mecánica, Star Trek: La próxima generación, Los pasajeros del tiempo",Otros premios
Tim Abell,-1,Reparto. Equipos adicionales. Producción,"Cuando éramos soldados, Escuadrón suicida, Asalto al poder",Otros premios
Tane McClure,-1,Reparto. Producción. Dirección,"Una rubia muy legal, Séance Games: Metaxu, Crueles intenciones 2",Otros premios
Cory Lane,-1,Reparto. Edición. Producción,"Medias de seda, Sueños invadidos, Eve's Beach Fantasy",No tiene premios
Max Goldberg,-1,Reparto,"Lift, Savage Roses, Illicit Dreams 2",No tiene premios
Jennifer Burton,-1,Reparto. Especialistas,"Juegos de pareja, Red Shoe Diaries, Mirada prohibida",No tiene premios
Robert Baldwin,-1,Reparto,"The Stalker 4, Havana Connection, Sex Files: Ancient Desires",No tiene premios
Terry Burke,-1,Reparto,"Turno de guardia, El hombre de los seis millones de dólares, Ley y orden",No tiene premios
Ross Hagen,1938,Reparto. Guion. Producción,"Mujeres violentas, Acción USA, El poder de las armas",No tiene premios
Brinke Stevens,1954,Reparto. Producción. Guion,"Esclavas del espacio, Personal Demons, Terror Toons 4",Otros premios
Nikki Fritz,-1,Reparto. Cámara y electricidad. Edición,"The Bare Wench Project, Viviendo sin límites, Movida de verano",No tiene premios
Damian Chapa,1963,Reparto. Dirección. Producción,"Sangre por sangre, Alerta máxima, Last Kiss in Paris",Otros premios
Annabel Schofield,-1,Reparto. Producción. Equipos adicionales,"El secreto de los hermanos Grimm, Doom, City of Ember: En busca de la luz",No tiene premios
Dean Stockwell,1936,Reparto. Dirección. Guion,"A través del tiempo, Casada con todos, Paris, Texas",Nominado para 1 premio Óscar
Harry Dean Stanton,1926,Reparto. Banda sonora,"Lucky, Alien, el octavo pasajero, Repo man (El recuperador)",Otros premios
Steve Kanaly,1946,Reparto. Dirección. Arte,"Dallas, Mi nombre es Ninguno, Dillinger",Otros premios
Jennifer Jostyn,1968,Reparto. Producción. Guion,"La casa de los 1000 cadáveres, Deep Impact, The Life Coach",No tiene premios
Collin Bernsen,-1,Reparto. Producción,"Un destino de ida y vuelta, Dead Air, Donna on Demand",No tiene premios
Steven Ford,1956,Reparto,"Starship Troopers (Las brigadas del espacio), Black Hawk derribado, Cuando Harry encontró a Sally...",No tiene premios
Butch McCain,1958,Reparto. Música. Producción,"Dragon Soldiers, Desierto, Bio-Dome",No tiene premios
Ben McCain,1955,Reparto. Producción. Guion,"Posesión demencial, Bio-Dome, Lois y Clark: Las nuevas aventuras de Superman",No tiene premios
Bill Pullman,1953,Reparto. Dirección. Producción,"Independence Day, Independence Day: Contraataque, Spaceballs",Otros premios
Patricia Arquette,1968,Reparto. Producción. Dirección,"Amor a quemarropa, Boyhood. Momentos de una vida, Médium",Ganó 1 premio Óscar
John Roselius,1944,Reparto. Equipos adicionales. Especialistas,"Carretera perdida, Space Jam, Con Air (Convictos en el aire)",No tiene premios
Louis Eppolito,-1,Reparto. Guion. Equipos adicionales,"Carretera perdida, Uno de los nuestros, Depredador 2",No tiene premios
Jenna Maetlind,-1,Reparto,Carretera perdida,No tiene premios
Michael Massee,1952,Reparto,"El cuervo, The Amazing Spider-Man 2: El poder de Electro, The Amazing Spider-Man",No tiene premios
Robert Blake,1933,Reparto. Guion. Producción,"Carretera perdida, A sangre fría, La piel en el asfalto",Ganó 1 premio Primetime Emmy
Henry Rollins,1961,Reparto. Producción. Guion,"Carretera perdida, Johnny Mnemonic, Atrapados",Otros premios
Michael Shamus Wiles,1955,Reparto,"Carretera perdida, Expediente X: Enfréntate al futuro, El club de la lucha",No tiene premios
Mink Stole,1947,Reparto. Guion. Cámara y electricidad,"Los asesinatos de mamá, Pink Flamingos, Cosa de hembras",Otros premios
James McManus,-1,Guion. Reparto,"Dinamita negra, The Big Empty, La cucaracha",Otros premios
Ellen Goldwasser,-1,Edición. Edición. Reparto,"The Big Empty, Road to Juarez, The Gardener's Daughter",No tiene premios
Pablo Bryant,-1,Cámara y electricidad. Dirección de fotografía y cámara. Reparto,"Mr. Fish: Cartooning from the Deep End, Filmmakers Unite (FU), Fuera de lugar",Otros premios
H.M. Wynant,1927,Reparto,"La rebelión de los simios, Yuma, La dimensión desconocida",Otros premios
Lee Holmes,-1,Reparto,"The Salton Sea, Bandwagon, Desert Blue",Otros premios
Jack Grabow,-1,Reparto,The Big Empty,No tiene premios
Karen Sederholm,-1,Reparto,The Big Empty,No tiene premios
Anna Simone Scott,-1,Reparto. Guion. Dirección,"Take My Heart, Salt Creek, A Royal Christmas Engagement",Otros premios
Linda Sue Murphy,-1,Reparto,The Big Empty,No tiene premios
Valerie Vigil,-1,Reparto,The Big Empty,No tiene premios
Shannon Sturges,-1,Reparto. Equipos adicionales. Equipo ejecutivo,"S.W.A.T.: Los hombres de Harrelson, Juego de ladrones: El atraco perfecto, Lift: Un robo de primera clase",No tiene premios
Michole Briana White,1969,Reparto,"Maligno, El hombre de California, Volcano",Otros premios
Charlie Spradling,1968,Reparto,"Corazón salvaje, El terror no tiene forma, The Doors",No tiene premios
Shae D'lyn,1962,Reparto. Dirección. Guion,"Boardwalk Empire, Una vida de mentira, Café Society",No tiene premios
Merle Kennedy,-1,Reparto. Guion,"May, Bubble Boy (El chico de la burbuja), La tormenta perfecta",No tiene premios
Tawny Fere' Ellis,-1,Reparto. Banda sonora,"Rockula, Convict 762, Angel 3",No tiene premios
Frank Zagarino,1959,Reparto. Producción. Dirección,"Operación cyborg, Cazador de sombras II, Cazador de sombras III",No tiene premios
Billy Drago,1945,Reparto. Producción. Guion,"Los intocables de Eliot Ness, Delta Force 2, Temblores 4: Comienza la leyenda",No tiene premios
Maria Schrader,1965,Reparto. Dirección. Guion,"Al descubierto, Unorthodox, El hombre perfecto",Ganó 1 premio Primetime Emmy
Eva Herzig,-1,Reparto,"Doppelter Einsatz, Suchkind 312, Holgi",No tiene premios
Andreas Lust,1967,Reparto,"Múnich, Revanche, El ladrón",Otros premios
Georges Kern,-1,Reparto,"La lista de Schindler, Vier Frauen und ein Todesfall, Stockinger",No tiene premios
August Schmölzer,-1,Reparto. Guion,"La lista de Schindler, Die Familienanwältin, El hundimiento",Otros premios
Karl Merkatz,-1,Reparto. Guion. Banda sonora,"Der Bockerer, Der Bockerer 2, Der Bockerer IV - Prager Frühling",Otros premios
Bibiane Zeller,-1,Reparto,"Kottan ermittelt, Die Spätzünder, Das Jahrhundert der Chirurgen",Otros premios
Rudolf Wessely,-1,Reparto. Guion,"Die Manns - Ein Jahrhundertroman, Bartleby, Das Schwein - Eine deutsche Karriere",No tiene premios
Manuel Löffler,-1,Reparto,"Der Unfisch, Rex: Un policía diferente, Der Kopf des Mohren",No tiene premios
Erwin Leder,1951,Reparto. Equipos adicionales,"Underworld, El submarino (Das Boot), La angustia del miedo",Otros premios
Moira Kelly,1968,Reparto. Dirección,"One Tree Hill, Twin Peaks: Fuego camina conmigo, El rey león",Otros premios
