Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
El policía gladiador,"3,1",Nick Rotundo,"Nick Rotundo, Paco Alvarez, Nicolas Stiliadis",Alexander the Great's sword is stolen from a museum as it holds special powers for the reincarnation of Alex. Illegal gladiator style duels are held around NYC. The cop investigating has visions of these fights.,tt0109905
Keïta! L'héritage du griot,"6,4",Dani Kouyaté,Dani Kouyaté,A storyteller named Djeliba comes to the town of a young boy named Mabo with promises that he will reveal the origin of the boy's ancestry.,tt0110252
The Phoenix and the Magic Carpet,"4,9",Zoran Perisic,"Florence Fox, E. Nesbit","The story follows 3 American kids who find a golden egg in their grandfather's cottage in England. When the egg falls into a bonfire, a Phoenix emerges and takes the children on a magic carpet to a fantastical land.",tt0110826
Un cuento: El mito de Pecos Bill,"5,9",Jeremiah S. Chechik,"Steve Bloom, Robert Rodat","A young boy's imagination summons cowboy legend Pecos Bill, who helps him save the family farm from a greedy land-grabber. With the help of a lumberjack and a railroad worker, they all embark on a surprise-filled adventure.",tt0111359
Tentación,"4,2",Lawrence Lanoff,Melissa Mitchell,Karin Swann brings a statue home from her travels to Asia and it soon begins to have a strange effect on her. She has an insatiable sexual appetite and develops strange fetishes such as pain and death. She soon gets out of control and only her boyfriend Matt Christianson has the power in his love to exorcise the demon spirits from Karin's body.,tt0109546
Los chicos del maíz 3: La cosecha urbana,"4,3",James D.R. Hickox,"Dode B. Levenson, Stephen King, Matt Greenberg","Dos sobrevivientes de eventos anteriores son adoptados por una familia de Chicago. En la gran ciudad, intentan adaptarse, pero uno de ellos es en realidad un emisario del mal y pronto comienza una nueva cosecha.",tt0109415
El abrazo del vampiro,"4,4",Anne Goursaud,"Halle Eaton, Nicole Coady, Rick Bitzelberger","Una estudiante de primer año de la universidad, es seducida por un apuesto vampiro que la introduce en un oscuro mundo de deseos carnales.",tt0109723
Testigo mudo,"6,7",Anthony Waller,Anthony Waller,"Una maquilladora estadounidense se encuentra en Moscú en el rodaje de una cinta de serie B. Un día, al terminar el rodaje se queda encerrada en los estudios y contempla el asesinato de una mujer que es protagonista de una ""snuff movie"".",tt0110604
The Upstairs Neighbour,"6,6",James Merendino,James Merendino,"Pulp novelist Eric lives in a bad neighborhood, and the guy upstairs annoys him with his noise. Gradually this escalates to pranksters phone calls and wire tapping which ticks off Eric's already unstable, nervous and paranoid personality.",tt0111574
Jugando a morir,"3,5",James Merendino,"Megan Heath, James Merendino","Traumatized after witnessing her jealous husband kill her adulterous lover and then himself, an unbalanced, nymphomaniac young woman finds herself stalked by an unknown assailant, but she cannot make anyone believe her desperate situation.",tt0111464
"Satánica, todo el mal en ella","4,1",Jim Wynorski,Mark Thomas McGee,"Jealous witch Erica uses her powers to influence her unwitting husband Larry and his colleagues, who all work for a big law firm.",tt0111244
Fiebre helada,"7,0",Friðrik Þór Friðriksson,"Friðrik Þór Friðriksson, Jim Stark",A Japanese businessman travels to Iceland and has a series of misadventures while venturing to a remote area to perform a traditional burial ritual where his parents died several years back.,tt0109028
Eclipse total (Dolores Claiborne),"7,4",Taylor Hackford,"Stephen King, Tony Gilroy",Una periodista de una gran ciudad viaja a un pequeño pueblo en el que su madre ha sido detenida por el asesinato de una anciana para la que trabaja como sirvienta.,tt0109642
Jupiter's Wife,"7,1",Michel Negroponte,"Gabriel Morgan, Michel Negroponte","Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and attempts to use her often outlandish stories as clues to reconstruct her past.",tt0110217
Mad Dogs and Englishmen,"3,9",Henry Cole,"Tim Sewell, Henry Cole","Antonia is a cute drug addict in London, who meets a nice motorbike courier. They get caught between a corrupt drug cop and a drug dealer.",tt0111151
Die Knickerbocker-Bande: Das sprechende Grab,"4,7",Marijan David Vajda,"Thomas Brezina, Milan Dor","Get set for the adventure of a lifetime when a ""dare"" leads four curious kids into a hair-raising investigation. While four friends meet at an old cemetery, they stumble over the grave of a famous magician. Things soon turn spooky as they're haunted by a cloaked stranger and mysterious voices begin erupting from the magician's grave. When they discover a magnificent s... Leer todo",tt0111269
Seeking the Cafe Bob,"7,2",Jeff Stolhand,Jeff Stolhand,,tt0109363
Costa Brava,"6,3",Marta Balletbò-Coll,"Marta Balletbò-Coll, Ana Simón Cerezo","In Barcelona, Anna is a tour guide working on her monologue, in which she's a Communist housewife whose lesbian neighbor is an object of curiosity. She's sent an audition tape to San Francisco's Another Stage. While giving a tour, she meets Montserrat, American, Jewish, teaching in Barcelona and unhappy with her job. Montserrat, claiming ""I'm not a lesbian,"" approache... Leer todo",tt0109489
Les ennemis de la mafia,"7,6",Sin Ming Ko,"Wai-Yee Fong, Kwong-Yam Yip",,tt0095102
Libre de sospecha,"6,7",Steven Schachter,"Jerry Lazarus, William H. Macy, Steven Schachter",A paralyzed cop struggles with his life following a failed special operation and gets depressed. His wife and brother try to get him out of that state which causes a series of unpredictable events.,tt0109034
Indiscrección peligrosa,"4,7",Richard Kletter,"Jack Tarpon, Richard Kletter","Una noche, el ejecutivo publicitario Jim (C. Thomas Howell) tiene una aventura con una mujer. Por desgracia para él, ella es Caroline Everett (Joan Severance), la esposa del rico, poderoso y vengativo Roger Everett (Malcolm McDowell)",tt0109532
In the Shadow of the Sandcastles,"5,5",Philippe Blot,Philippe Blot,The ex-cop Robin kills an actor and steals his money and cocaine. And now he is supposed to find the killer together with an interpol inspector. To hide his guilt Robin goes on murdering leaving hints that lead to the actress Angel...,tt0099840
Almost Blue,"4,8",Keoni Waxman,Keoni Waxman,"The young jazz saxophonist Morris Poole is at the height of his career. When his wife dies he is almost overcome by grief and blames himself. When after a while he finds a new love, he ends up in a situation that reminds him of his wife's mysterious death.",tt0103655
Augustitango,"4,4",Lennart Svensson,Lennart Svensson,About a relationship between a young man and a mature woman.,tt0106322
Marcada por el recuerdo,"6,8",Avery Crounse,Avery Crounse,"After a hurricane reeks havoc on Sister Island, Mississippi, rescue parties find a young girl on the shore. The girl is alive and soon opens her eyes, but she is non responsive. Dorrie takes her to her mother's home and goes back to the island to look for family. Although there were only 30 people on the island, none of the survivors claim to know her. Weeks go by and... Leer todo",tt0106621
Burakku jakku,"6,7",Osamu Dezaki,"Osamu Dezaki, Udo Lindenberg, Eto Mori","The adventures of the unlicensed but genius doctor Black Jack, who encounters extraordinary people and phenomena as he attends to unusual medical cases.",tt0106421
God's Lonely Man,"6,4",Francis von Zerneck,Francis von Zerneck,"As each relentless night turns towards day, Ernest Rackman turns towards violence to escape thoughts of loneliness and suicide. Then he poses as a police officer and rescues a young girl from her parent's apartment, where she was forced into a compromising life. Having discharged his violence, he plans to move forward with this new relationship, but the demons of lone... Leer todo",tt0107025
Belyy prazdnik,"7,3",Vladimir Naumov,"Tonino Guerra, Vladimir Naumov","Knowing that he will soon pass on, elderly Valentin Grack hires private detective Stanislav to follow him around for an entire day and write down everything that he does. It is a cold day and during Grack's travels he encounters a younger woman who addresses him as professor. He then meets a prostitute who turns out to be his daughter, and finally he meets an old woma... Leer todo",tt0109239
Highway of Heartache,"8,0",Gregory Wild,Gregory Wild,,tt0110028
Ladri di cinema,"6,6",Piero Natoli,Piero Natoli,The story of an Italian director who cannot break through and blames Hollywood.,tt0110294
Pterodactyl Woman from Beverly Hills,"4,6",Philippe Mora,Philippe Mora,"Pixie is cursed with turning into a Pterodactyl when her husband is caught messing with bones on an ancient burial ground. Her husband, children, friends, and neighbours must come to terms with Pixie's new ""look"". Her only chance to return to her normal state is to find the shaman who inflicted the curse on her.",tt0110910
Mo him wong,"5,7",Siu-Tung Ching,"Wai-Lun Lam, Sandy Shaw, Cheuk-Hon Szeto","A serial adventure writer with problems in his personal life lives out the adventures of his literary hero, King of Adventurers.",tt0110463
The Wedding Tape,No disponible,John Behnke,"John Behnke, Rob Humphrey, Jim Peterson",,tt0111678
La serva amorosa,"6,7",Jean Douchet,Carlo Goldoni,"Coraline, a young servant in love with Florindo, will thwart the plans of Beatrice, the second wife of Ottavio, father of Florindo, who wants to capture the legacy of Florindo for his own advantage and that of his own son.",tt0111129
Blondes Have More Guns,"4,5",George Merriweather,"Dan Goodman, Mary Guthrie, George Merriweather","A bumbling detective, along with his loyal sidekick and a man in a dog suit, tracks down a sultry chainsaw murderess!",tt0112526
The Darien Gap,"6,6",Brad Anderson,Brad Anderson,A young man hitchhikes through Central America until he is faced with crossing an 80-mile gigantic swamp called the Darien Gap. This comedy adventure from Brad Anderson was a Grand Jury Prize nominee at Sundance.,tt0112803
Ein fast perfekter Seitensprung,"6,2",Reinhard Schwabenitzky,Reinhard Schwabenitzky,"Henny, a self-confident dressmaker, lives with her quirky parents in a village near Cuxhaven. She is involved with Martin, the son of the aristocratic family who owns the local shipyard.",tt0113035
Eliksir,"6,6",Irina Evteeva,Irina Evteeva,"Loosely based on tales by E. T. A. Hoffman. In a wonderland inhabited by fiery salamanders and winged spirits, good fights evil in search of a life-giving talisman whose finder will rule the world.",tt0112946
Eno nakano bokuno mura,"6,9",Yôichi Higashi,"Yôichi Higashi, Takehiro Nakajima, Seizo Tashima","Tells of the childhood of nine-year-old twins in a rural village in Japan after World War 2. Includes the boys' relationships with their schoolteacher mother, civil servant father, elderly landlord, a rough new boy at the school, and three mysterious spirits in the form of old women.",tt0112923
Drzewa,"2,5",Grzegorz Królikiewicz,"Jerzy Jankowski, Grzegorz Królikiewicz",Ecological horror about the relationship between humans and plants. A 40-year-old biologist conducts unusual experiments. The plants she grows experience physical pain and anxiety.,tt0112908
Cazador de medianoche,"3,9",Rick Jacobson,William C. Martell,"El cazavampiros Jack Cutter se apresura contra el tiempo para aniquilar a los últimos chupasangres antes de un evento catastrófico. Don ""The Dragon"" Wilson protagoniza este trepidante thriller de acción.",tt0113981
Sobrenatural,"6,3",Daniel Gruener,"Gabriel González Meléndez, Daniel Gruener","A woman sees her best friend murdered before her eyes, and thus becomes very traumatised. Her husband tells her to stay at home, where she discovers a little gris-gris bag. She opens the bag, without knowing its magical origin, and smells a powder. She begins investigating and discovers a strange address: ""Academia #10"". She then goes there and meets a witch, who warn... Leer todo",tt0114485
Sucesos distantes,"6,6",Guita Schyfter,"Hugo Hiriart, Alejandro Lubezki","One couple (Carlos & Irene) are having troubles, because he suspects that Irene's hiding something about her past in Russia. To make things worst her ex-husband goes to Mexico and tells Carlos that her other ex-husband also is going to claim her as his property.",tt0111305
"Carlos Monzón, el segundo juicio","5,0",Gabriel Arbós,"Pamela Bisserier, Daniel Ginhson, Aníbal Uset","A recreation of the trial and several hypotheses of the death of the model Alicia Muñiz on February 14, 1988 in the city of Mar del Plata starring the world boxing champion Carlos Monzón as the main suspect of the crime.",tt0112632
Letters from the East,"6,7",Andrew Grieve,William Grieve,"A woman returns to her native Estonia to unravel the complex mysteries of her family's past. Set in 1989, against the background of the Baltic territory's struggle for peace and independence from the Soviet Union.",tt0113643
Labirintos,"4,6",Mikael Dovlatyan,"Mikael Dovlatyan, E. Khald-Asoyan",,tt0113591
Lago Ness,"5,5",John Henderson,John Fusco,"El Dr. Dempsey, científico estadounidense que se ha convertido en un escéptico tras una desastrosa decisión equivocada, no está precisamente entusiasmado con ser enviado a Escocia para probar la existencia del monstruo del lago Ness.",tt0113682
Power 98,"4,5",Jaime Hellman,Jaime Hellman,Un polémico presentador de un programa de entrevistas se ve envuelto en el asesinato de una bella mujer en una guerra por los índices de audiencia.,tt0114170
Los vuelcos del corazón,"5,8",Mitl Valdez,"José Revueltas, Mitl Valdez",,tt0111645
It's My Party (Fiesta de despedida),"7,1",Randal Kleiser,Randal Kleiser,"Nick ""Eric Roberts"", is nearing the end of a 3-year battle with AIDS and makes arrangements to die. He hosts a party to say goodbye to friends and family. His ex-partner, Brandon ""Gregory Harrison"", attends and things get complicated.",tt0113443
Tras el silencio,"7,2",Angela Pope,"Neville Bolt, Paula Milne","Following the break-up of his marriage after revealing his homosexuality, GP Martin Wyatt loses custody of his son Oliver to his now ex-wife Hannah and her new partner Frank. It is not long, however, until Oliver appears at the house of Martin and his new lover Tom claiming to have been beaten up by boys in the park. After another incident, Martin puts two and two tog... Leer todo",tt0113314
Cilantro y perejil,"6,3",Rafael Montero,"Cecilia Pérez Grovas, Carolina Rivera","La crisis económica contribuye al naufragio del matrimonio de Carlos y Susana. Las atinadas observaciones de un psicoanalista sobre el amor, la pareja y la convivencia humana salpican con buen humor los conflictos de los personajes.",tt0112675
Dinero sucio,"5,7",Alex Wright,Alex Wright,"When a car thief can't resist stealing one more car, she finds herself in possession of $2.7 million mob money, and the mob's counterfeit printing plates. The mobsters and corrupt cops don't take kindly for this, and the chase soon begins.",tt0113033
Le journal du séducteur,"6,8",Danièle Dubroux,"Danièle Dubroux, Søren Kierkegaard","A few stories are mixed, but all starts with Claire who one day brings back to Gregoire one of his books found at the university. Gregoire is the tenebrous romantic king, and Claire falls in love with him. But there is also Gregoire's circle, his disturbing neighbour, his maybe crazy grandmother Diane, his former teacher Hugo. And this is mixed up with Sebastien's att... Leer todo",tt0113489
Foreign Bodies,"5,8",Jim Purdy,Jim Purdy,"Chanida is a fifteen year old Filipino girl smuggled into North America with the promise of legitimate work. But once in the country, she is brutally imprisoned with other Asian girls and violently coerced into prostitution.",tt0109827
The Cold Light of Day,"6,2",Rudolf van den Berg,"Friedrich Dürrenmatt, Doug Magee",A troubled detective befriends a single woman and her daughter with the intention of using them as bait for a serial killer.,tt0110125
Lifebreath,"5,4",P.J. Posner,"Joel Posner, P.J. Posner",A man plans a perfect murder to get a lung transplant for his dying wife.,tt0102267
Strawberry Fields,"6,5",Rea Tajiri,"Kerri Sakamoto, Rea Tajiri","A young Japanese-American girl is affected on all fronts. She suffers from the volition of her ancestry, the discipline of her mother and the world she feels betrays her. She is a pyromaniac and has mental issues. What to do? Escape and hit the road with your boyfriend except there is no destination and even were there one she abandons it in favour of a detour through... Leer todo",tt0108233
Annie's Garden,"4,8",Anthony Barnao,Keith Coulouris,"In front of his 15-year-old son, a father loses his temper and strikes his younger daughter, thinking she's trying to run away from him. Jump ahead ten years: the dad is dead, the mom is gone, and the son, Luke, is raising his now grown sister, Annie. He's overprotective, and she seems blood simple, a coquette and an innocent. He runs the diner in town, and one day, L... Leer todo",tt0109136
Lethal Seduction,"4,2",Fred P. Watkins,"Fred P. Watkins, Scott M. Murphy","Someone is killing crime boss Gus Gruman's (Joe Estevez) friends and business associates. Lured into what promises to be a ""fun time"", the victims are brutally murdered. Detective Trent Jacobson (Chris Mitchum) is obsessed with nailing Gruman for his crimes and solving the grisly homicides with only one unidentified blonde suspect. Gruman's beautiful daughter Mona( Jo... Leer todo",tt0110331
This Is the Sea,"6,1",Mary McGuckian,Mary McGuckian,"Hazel is a Protestant and Malachy a Catholic. Romance between them is threatened by Rohan, who wants Malachy to be recruited and fight for the cause, and by Hazel's brother Jef, who spies on her meetings.",tt0111416
Alien Visitor,"5,7",Rolf de Heer,Rolf de Heer,"In this sci-fi adventure a gorgeous alien woman is sent to Earth by mistake from the planet Epsilon. Landing in the Australian outback she meets a surveyor and they cross the continent together. However, she spends the trip haranguing him for the ecological recklessness and avarice of the human race.",tt0112974
Visidela,"6,9",H.D. Premaratne,"Jackson Anthony, H.D. Premaratne, Sarathchandra","Nimal and Sirima with their father, live in a village where the passenger transport is only a lorry coverted into a bus. Nimal wants to join police force. He goes to house of the police inspector of the area and works as a house servant. When the rebellion activities arise, he is recruited as a homeguard (A rank junior to constable in SL police). His sister sirima is ... Leer todo",tt0111632
Taranthriller,"2,4",Miroslaw Dembinski,Wojciech Lepianka,,tt0108294
Day at the Beach,"5,9",Nick Veronis,Nick Veronis,A group of friends flee from the mob and fall in love.,tt0112810
Kabel und Liebe,"6,8",Konrad Sabrautzky,Rasi Levinas,,tt0113513
Gettin' Up,"3,0",Philip J. Jones,No disponible,,tt0113162
Lewis & Clark & George,"5,3",Rod McCall,Rod McCall,Two escaped convicts join forces with a seductive femme on the trail of a long-forgotten gold mine.,tt0113646
Farmer & Chase,"5,0",Michael Seitzman,Michael Seitzman,A career thief forms a partnership with his reluctant son.,tt0113031
Atrapados,"4,1",Chris McIntyre,Chris McIntyre,"Charter pilot Nick Baskin takes 5 strangers on a flight that is shot down. Taken by hillbillies in West Virginia, they are used to help transport toxic waste.",tt0112629
Agnichakra,"2,8","Ketan Anand, Amit Suryavanshi",No disponible,"Amar lives a middle-class life with his Police Inspector brother, Suryaveer, and sister-in-law, Beena. Suryaveer is assigned to handle the task of apprehending a group of terrorists, headed by Jumbo, who have made their hideout in a dense forest in Central India. Suryaveer's partner is Inspector Satpal, who is an alcoholic. Suryaveer is also told that six other police... Leer todo",tt0112308
Tormenta de fuego,"3,4",John Shepphird,"Jimmy Lifton, Nick Spagnoli, Paulette Victor Lifton","In the year 2047, a fierce battle rages between a ruthless villain and an android resistance group. Identical twin brothers - one a jazz musician and former cop, the other a troubled gun for hire with a gambling problem - find themselves caught in the middle.",tt0113067
A tres bandas,"5,8",Enrico Coletti,"Enrico Coletti, Lorenzo De Luca, Filippo De Luigi",,tt0115447
Código nuclear,"4,2",Mark Griffiths,"Andrew Osborne, Dennis Cooley",An ex-marine returns to Vietnam when he learns his former mercenary partner whom he thought was killed is being held by a sadistic general.,tt0115647
Champions,"3,8",Peter Gathings Bunche,"George Francisco, Peter McAlevey, Thomas S. McNamara","William Rockman is a champion ""Terminal Combat"" fighter who retired from the sport after accidentally killing a young man while training. Five years after his retirement, Terminal Combat has been banned by the government and has gone underground. The ""new"" Terminal Combat is just that; one combatant in each match usually does not live to tell about the experience. Whe... Leer todo",tt0115864
Las dos huérfanas vampiras,"5,1",Jean Rollin,Jean Rollin,"A pair of teenage girls, who are blind by day, but when the sun goes down, they roam the streets to quench their thirst for blood.",tt0112856
Magic in the Mirror: Fowl Play,"4,9",Ted Nicolaou,"Ken Carter, Frank Dietz, Michael McGann","Dr Tuttle uses the Doppelganger to breach a mirror, letting Dragora, Dabble and Swanson into the people world. Dragora uses this opportunity to get revenge on Mary Margaret, by way of having her over for tea.",tt0116960
Black Scorpion II: Aftershock,"3,7",Jonathan Winfrey,Craig J. Nevius,"Darcy is back on the force, but still fights on as the Black Scorpion because ""it's in her nature."" This time, she fights Gangster Prankster; and a new villian emerges when the Mayor tries to protect his federal earthquake relief money: Aftershock. When the two villians team up and kidnap Argyle's girlfriend, Black Scorpion is faced with the theft of the Scorpionmobil... Leer todo",tt0115696
A Ostra e o Vento,"7,2",Walter Lima Jr.,"Walter Lima Jr., Moacir C. Lopes, Flávio Ramos Tambellini",A fantasy/mystery about the disappearance of a lighthouse owner and his daughter.,tt0117264
Un hombre lobo americano en París,"5,1",Anthony Waller,"John Landis, Tim Burns, Tom Stern",Un joven estadounidense establece contacto involuntariamente con hombres lobo franceses que han creado un suero que les permite transformarse cuando quieran.,tt0118604
Muerte inocente,"5,2",Sara Botsford,"Dolores Payne, Mort Pattigo","Suzanne, a single parent and successful lawyer, returns home to find her daughter missing. About to call the police, she is confronted by a disembodied voice warning her that if she attempts to leave or seek help, her daughter will die.",tt0116048
Historias de medianoche,"5,8","Matt Cooper, Martin Kunert, David Semel","Martin Kunert, Eric Manes, Matt Cooper","Un grupo de adolescentes se entretiene contando una antología de famosas leyendas urbanas con un toque moderno; incluyendo puntos de besos, monstruos, psicópatas y fantasmas.",tt0115813
Perversión asesina,"4,9",James Seale,James Seale,"A private investigator, mentally disturbed by his father's suicide, goes undercover in a mental institution to discover the murderer of a friend who was a doctor at the clinic.",tt0115584
Illicit Dreams 2,"3,7",Fred Olen Ray,Steve Armogida,"Cuando muere la mujer de un hombre, el nuevo ejecutivo de su empresa se pone manos a la obra. Aunque saben que las relaciones sexuales podrían causar problemas, eso no les detiene.",tt0116611
Midnight Blue,"4,7",Skott Snider,Douglas Brode,Twins Martine/Georgine dupe a love-stricken executive (Martin) into helping them steal $5 million from Georgine's husband.,tt0117041
Carretera perdida,"7,6",David Lynch,"David Lynch, Barry Gifford","Tras un extraño encuentro en una fiesta, un saxofonista de jazz se ve incriminado en el asesinato de su mujer y es enviado a prisión, donde inexplicablemente cambia de forma y se convierte en un joven mecánico.",tt0116922
The Big Empty,"5,9",Jack Perez,"James McManus, Jack Perez","A woman hires P.I. Lloyd Meadows to investigate her husband, a respectable social worker. What seemed to be a simple case of adultery turns into an ugly mess fast.",tt0118713
Convict 762,"3,3",Luca Bercovici,J. Reifel,"A spacecraft with an all-female crew is forced to jettison fuel due to engine problems, and makes an emergency landing on a planet being used as a penal colony.",tt0118886
Der Unfisch,"6,4",Robert Dornhelm,Michael Köhlmeier,"Sophie ""inherits"" her uncle's preserved whale and finds out that whoever sleeps in the whale's belly with her will be granted one wish. That causes chaos and hatred in the village.",tt0114502
Cambio de hábitos,"5,8",Lynn Roth,Scott Davis Jones,"Una artista decide dejar atrás sus problemas con los hombres y los desalojos mudándose a un convento, para poder trabajar para ganarse la vida. ¿Es su arte una oportunidad para que las hermanas salven el convento del cierre?",tt0115865
Always Say Goodbye,"5,0",Joshua Beckett,Joshua Beckett,"A sexy, free spirit meets her match in a photographer and serial bachelor. Both of them turn up the personal fires, but neither can commit. Starring Marcia Cross and Joshua Beckett.",tt0115524
Loose Women,"4,4",Paul F. Bernard,Sherry Ham-Bernard,"A punto de cumplir 30 años, las amigas Rachel Gail y Tracy navegan por los clubes de Nueva York despreciando sus relaciones y a los hombres en general.",tt0116914
En brazos de la mujer madura,"6,2",Manuel Lombardero,"Rafael Azcona, Manuel Lombardero, Stephen Vizinczey","In the turmoil of the Spanish Civil War, a young man comes of age sexually, through a string of relationships with a wide range of mature, older women.",tt0116193
Last Chance Love,"4,9",Ankie Lau,Ankie Lau,,tt0116826
Hufters & Hofdames,"6,8",Eddy Terstall,"Rolf Engelsma, Eddy Terstall","A story about a bunch of 20-somethings in Amsterdam and their love-life, as told from 2 perspectives.",tt0116577
Madera a la deriva,"5,4",Ronan O'Leary,"Richard M.N. Waring, Ronan O'Leary","A distant, desolate shore in a remote part of Ireland. Sarah, a lonely young sculptress, discovers a man washed-up on the water's edge. He is barely conscious but she manages to nurse him back to health and finds he suffers from amnesia.",tt0112904
El pequeño ladrón de Ulan Bator,"6,5",Nansalmaagin Uranchimeg,Nansalmaagin Uranchimeg,"Ulan Bator is the capital of Mongolia, and is has its share of urban crimes despite being in the middle of one of the most underdeveloped and underpopulated countries in the world. In this story, Toguldur (S. Gombo-Ochir) is a boy who was recently orphaned. He has at least these things going for him: he is wiry, strong, and agile. These might help him to survive legit... Leer todo",tt0108098
Luces de la noche,"4,6",Sergio Muñoz,Xavier Robles,"Eduardo, an aged judge, is being retired. With all his time now available he reads old papers and letters. He then finds the photograph of the singer Tina, his love of younger years. He decides to search for her and then discovers her fate, that of her husband and child.",tt0110404
La dame du jeu,"7,0",Anna Brasi,"Anna Brasi, Richard Grieco","Venice, 16th century. The Marquis Evaristo Della Porta spends the summer in his villa in the hills of Venice with Veronica Stampa, a famous courtesan.",tt0112784
Xiu Xiu,"7,5",Joan Chen,"Joan Chen, Geling Yan","Young teen girl Xiu Xiu is sent away to a remote corner of the Sichuan steppes for manual labor in 1975 (sending young people to there was a part of Cultural Revolution in China). A year later, she agrees to go to even more remote spot with a Tibetan saddle tramp Lao Jin to learn horse herding.",tt0115005
The Brylcreem Boys,"6,2",Terence Ryan,"Jamie Brown, Terence Ryan, Susan Morrall","In 1941, as part of an effort to remain strictly neutral, the Dublin government made a deal with both Berlin and London whereby any soldier, sailor or pilot captured on Irish soil, whether of German or Allied forces, would be interned for the duration of the war. What the Irish failed to tell was that they would intern everybody in the same camp. It is here that Canad... Leer todo",tt0115770
