Nombre,Anyo,Roles,Peliculas,Premios
Charlie Yeung,1974,Reparto. Dirección. Guion,"Fallen Angels (Ángeles caídos), Bangkok dangerous, New Police Story",Otros premios
Collin Chou,1967,Reparto. Especialistas. Producción,"Matrix Revolutions, Matrix Reloaded, El reino prohibido",No tiene premios
Kar-Ying Law,1947,Reparto. Música. Banda sonora,"Desde Pekín con amor, Nu ren si shi, Daai laap mat taam Ling Ling Fat",Otros premios
Billy Chow,1958,Reparto,"Future Cops, Doble mortal, Nu ji xie ren",No tiene premios
Johnnie Kong,-1,Dirección de la segunda unidad o asistencia a dirección. Reparto. Dirección,"The Grandmaster, Chungking Express, 2046",No tiene premios
Kim-Fai Che,-1,Especialistas. Reparto,"El monje, Kung Fu Jungle, Siete espadas",No tiene premios
Jian Yong Guo,-1,Dirección. Especialistas. Reparto,"El único, El asesino (War), Nacer para morir",Otros premios
Faleena Hopkins,-1,Reparto. Producción. Guion,"Just One More Kiss, Blown Away (Volar por los aires), The Witch Odessa",Otros premios
Sam Selvaggio,-1,Reparto,"2002: The Rape of Eden, The Wedding Tape",No tiene premios
Jacqui Hyland,-1,Reparto,"The Wedding Tape, The Misadventures of James Spawn, Country Style",No tiene premios
G. Larry Butler,1949,Reparto. Producción. Guion,"The Double-D Avenger, Frankenstein vs. the Creature from Blood Cove, Panman",Otros premios
Christian Martin,-1,Reparto,"In the Company of Agents, Epilogue, Backlash",Otros premios
Anne Mattingly,-1,Reparto,"Persiguiendo a Courtney, The Wedding Tape, Compromising Situations",No tiene premios
John-Michael Williams,-1,Reparto,"Dinosaur Valley Girls, The Wedding Tape, La comedia de George Burns",No tiene premios
Alain Pralon,-1,Reparto,"Les plaisirs de l'île enchantée, Les fourberies de Scapin, Las brigadas del tigre",No tiene premios
Claire Vernet,-1,Reparto,"Josefina, Café de Flore, Le bourgeois gentilhomme",No tiene premios
Catherine Hiegel,1946,Reparto. Equipos adicionales. Banda sonora,"Les côtelettes, La folle histoire d'amour de Simon Eskenazy, Le bourgeois gentilhomme",No tiene premios
Nicolas Silberg,-1,Reparto,"La double vie de Théophraste Longuet, Mesrine, La dame de Monsoreau",No tiene premios
Jacques Sereys,-1,Reparto. Equipos adicionales. Banda sonora,"El fuego fatuo, En guardia!, Les Thibault",No tiene premios
Jean-Yves Dubois,-1,Reparto,"La serva amorosa, Ballade à blanc, Richelieu ou La journée des dupes",No tiene premios
Anne Kessler,-1,Reparto,"Cyrano de Bergerac, Vincennes Neuilly, Le dindon",No tiene premios
Philippe Torreton,1965,Reparto. Guion,"Distrito 13: Ultimátum, Capitán Conan, Hoy empieza todo",Otros premios
Michael McGaharn,-1,Reparto. Guion,"Sonikku adobenchâ, Blondes Have More Guns, Detective Barbie: Mystery of the Carnival Caper",No tiene premios
Elizabeth Key,-1,Reparto,Blondes Have More Guns,No tiene premios
Richard Neil,-1,Reparto. Producción. Casting,"Veronica Mars, Horizon Zero Dawn: The Frozen Wilds, Minx",Otros premios
Gloria Lusiak,-1,Reparto. Dirección de producción,"The Pit: Emergency Room, Blondes Have More Guns, Run Like Hell",No tiene premios
André Brazeau,-1,Reparto,"Blondes Have More Guns, The Game, Animated Tales of the World",No tiene premios
David Myers,-1,Reparto,Blondes Have More Guns,No tiene premios
Ken Belsky,-1,Reparto. Guion. Producción,"The Prototype, De ratones y hombres, Cost of Capital",No tiene premios
Benny Buettner,-1,Reparto. Producción. Guion,"El hombre bicentenario, Dr. Dolittle, Nash Bridges",No tiene premios
Ramona Lisa,-1,Reparto,Blondes Have More Guns,No tiene premios
Derek-James Yee,-1,Reparto,"Deeply Disturbed, Blondes Have More Guns, This Gun for Hire",No tiene premios
Sandi Carroll,-1,Reparto,"Destino oculto, Los secretos del corazón, Próxima parada Wonderland",No tiene premios
Bob Druwing,-1,Reparto. Transporte,"Próxima parada Wonderland, El alma del diablo, Leaving Scars",No tiene premios
D.W. Ferranti,-1,Reparto. Producción. Sonido,"Próxima parada Wonderland, Lunamancer, Los censores de Hollywood",No tiene premios
Leech,-1,Reparto. Equipos adicionales. Sonido,"Banged Up, The Darien Gap",No tiene premios
Bill Thorpe,-1,Reparto,"Al límite, Mystic River, Ruega por nosotros",No tiene premios
Lyn Vaus,-1,Reparto. Guion. Edición,"El cortador de césped, Temptation, Próxima parada Wonderland",No tiene premios
Elfi Eschke,-1,Reparto. Banda sonora,"Zwei Väter einer Tochter, Oben ohne, Der schwarze Obelisk",Otros premios
Andreas Vitásek,-1,Reparto. Guion. Producción,"Brüder III - Auf dem Jakobsweg, Müllers Büro, Vitasek?",Otros premios
Claudia Kment,-1,Reparto,"Zwei Väter einer Tochter, El viejo policía, Ein fast perfekter Seitensprung",No tiene premios
Nicola Etzelstorfer,-1,Reparto,"Medicopter, Die 3 Posträuber, Flashback - Mörderische Ferien",No tiene premios
Hans Clarin,-1,Reparto. Equipos adicionales. Banda sonora,"Pippi Calzaslargas, El pañuelo asesino, Immer Ärger mit Nicole",No tiene premios
Monika John,-1,Reparto,"Ein Sarg aus Hongkong, Pflicht ist Pflicht, Zwei Herren aus Verona",No tiene premios
Heinz Petters,-1,Reparto. Banda sonora,"Trautmann, Las aventuras del bravo soldado Schweik, Wiener Totentanz",No tiene premios
Kitty Speiser,-1,Reparto. Dirección,"Herr im Haus bin ich, Sechs Personen suchen einen Autor, Kinder der Sonne",No tiene premios
Ernst Konarek,-1,Reparto,"Oben ohne, Kottan ermittelt, Die Neue - Eine Frau mit Kaliber",No tiene premios
Hilde Sochor,-1,Reparto,"Stadtpark, En el lugar del crimen, Der Fünf-Minuten-Vater",No tiene premios
Svetlana Svirko,-1,Reparto,"El arca rusa, Zamok, Stalingrado",No tiene premios
Mieko Harada,1958,Reparto. Guion. Arte,"Ran, Los sueños de Akira Kurosawa, Ai o kou hito",Otros premios
Keigo Matsuyama,-1,Reparto,Eno nakano bokuno mura,No tiene premios
Shogo Matsuyama,-1,Reparto,Eno nakano bokuno mura,No tiene premios
Kyôzô Nagatsuka,1945,Reparto,"Za Chugaku kyoshi, Warau kaeru, Makai tenshô",Otros premios
Kaneko Iwasaki,-1,Reparto. Banda sonora,"La condición humana II: El camino a la eternidad, Zatôichi jigoku-tabi, Hitori okami",No tiene premios
Hôsei Komatsu,-1,Reparto,"Lady Snowblood, Dannoura yomakura kassenki, Yôen dokufu-den: Han'nya no Ohyaku",No tiene premios
Tokuko Sugiyama,-1,Reparto,"Asobi, Kowagaru hitobito, Kyûpora no aru machi",No tiene premios
Kôichi Ueda,-1,Reparto,"Godzilla contra King Ghidorah, Godzilla contra Biollante, Gojira vs. Desutoroiâ",No tiene premios
Lidia Bogaczówna,-1,Reparto. Música,"Prawo Agaty, Wataha, Corpus Christi",No tiene premios
Monika Bolly,-1,Reparto,"Teatr Telewizji, Zabic na koncu, Zycie jak poker",No tiene premios
January Brunov,-1,Reparto,"Pierwsza milosc, Szczur, Gniew",No tiene premios
Przemyslaw Dabrowski,-1,Reparto. Dirección. Guion,"Teatr Telewizji, Drzewa, Zdrada",No tiene premios
Ewa Kasprzyk,1957,Reparto,"Dziewczeta z Nowolipek, Kogel-mogel, Bellissima",Otros premios
Maria Klejdysz,-1,Reparto,"Ostatnia akcja, Simetría, Milczace slady",No tiene premios
Piotr Korczarowski,-1,Reparto,Drzewa,No tiene premios
Maciej Kozlowski,-1,Reparto,"La lista de Schindler, Marszalek Pilsudski, Wiedzmin",No tiene premios
Leon Niemczyk,-1,Reparto,"El cuchillo en el agua, Inland Empire, Das unsichtbare Visier",Otros premios
Franciszek Trzeciak,-1,Reparto. Dirección. Guion,"Hazardzisci, Punkty za pochodzenie, Diabelskie szczescie",Otros premios
Don Wilson,1954,Reparto. Producción. Especialistas,"Batman Forever, The Last Sentinel, Ring of fire II: Sangre y acero",Otros premios
Melanie Smith,-1,Reparto,"Star Trek: Espacio Profundo Nueve, As the World Turns, Las aventuras de Brisco County",Otros premios
Nicholas Guest,-1,Reparto. Equipos adicionales. Sonido,"¡Socorro! Ya es Navidad, Entre pillos anda el juego, Astro Boy",No tiene premios
Sid Sham,-1,Reparto. Producción,"Hunter, Sworn to Justice, Cazador de medianoche",No tiene premios
Cash Casey,-1,Reparto,Cazador de medianoche,No tiene premios
Maria Ford,-1,Reparto. Equipos adicionales,"Cazador de medianoche, Saturday Night Special, The Glass Cage",No tiene premios
Ron Yuan,1973,Reparto. Dirección. Producción,"Mulán, Blade of the 47 Ronin, Los hermanos Sun",Otros premios
Michael Cavanaugh,1942,Reparto,"Harry el ejecutor, The Haunting (La guarida), La maldición de los hoyos",No tiene premios
Vince Murdocco,-1,Reparto. Especialistas. Producción,"El increíble Hulk, 2012, Infierno blanco",No tiene premios
James Lew,1952,Especialistas. Reparto. Dirección de la segunda unidad o asistencia a dirección,"Luke Cage, Golpe en la pequeña China, 18 Fingers of Death!",Ganó 1 premio Primetime Emmy
Susana Zabaleta,1964,Reparto,"Sexo, pudor y lágrimas, Sobrenatural, Sexo y otros secretos",Otros premios
Alejandro Tommasi,-1,Reparto,"Destilando amor, Hasta el fin del mundo, Imperio de cristal",Otros premios
Ricardo Blume,-1,Reparto. Dirección,"Tercera Llamada, Cuidado con el ángel, Sobrenatural",Otros premios
Delia Casanova,1948,Reparto,"El callejón de los milagros, Sobrenatural, Cadenas de amargura",Otros premios
Francis Laboriel,-1,Reparto,"Pecado original, Sobrenatural, El cielo subterráneo",No tiene premios
Roberto Cobo,1930,Reparto. Equipos adicionales. Banda sonora,"Los olvidados, El lugar sin límites, Dulces compañías",Otros premios
Zaide Silvia Gutiérrez,1959,Reparto. Producción,"Ciudades oscuras, Por si no te vuelvo a ver, Ciudad de ciegos",Otros premios
Lety Gómez,-1,Reparto,"Encuentro, Camaleon: Atentado a Castro, Sobrenatural",Otros premios
Olivia Margarita De Wesche,-1,Reparto,Sobrenatural,No tiene premios
Jarmila Dostalova,-1,Reparto,Sobrenatural,No tiene premios
Angélica Aragón,1953,Reparto. Banda sonora,"El crimen del padre Amaro, Un paseo por las nubes, La casa al final de la calle",Otros premios
Fernando Balzaretti,-1,Reparto,"Muelle rojo, El nacimiento de un guerrillero, Días difíciles",Otros premios
Lucila Balzaretti,-1,Reparto,"Bandera rota, Mujeres salvajes, Amaneció de golpe",No tiene premios
Selma Beraud,-1,Reparto,"Sucesos distantes, Mictlan o la casa de los que ya no son, El juego de Zuzanka",No tiene premios
José Cortés,-1,Reparto,"¡Viva México!, Sucesos distantes, El misterio del rostro pálido",No tiene premios
Luis de Icaza,-1,Reparto,"Revenge (Venganza), Cronos, Lazos de amor",Otros premios
Emilio Echevarría,-1,Reparto,"Amores perros, Muere otro día, Y tu mamá también",Otros premios
Humberto Enríquez,-1,Reparto,"Triste recuerdo, Sucesos distantes, Motel",No tiene premios
Jaime Estrada,-1,Reparto. Cámara y electricidad,"Herida abierta, Susan Hero, La hija del caníbal",No tiene premios
Alberto Lomnitz,-1,Reparto,"La secta del sargón, Sucesos distantes, Viento aparte",No tiene premios
Norma Aleandro,1936,Reparto. Guion,"La historia oficial, Cleopatra, Sol de otoño",Nominado para 1 premio Óscar
Jesús Berenguer,-1,Reparto,"Las esclavas, El Clan, Las aventuras de Tremendo",No tiene premios
José Luis Alfonzo,-1,Reparto,"Casas de fuego, Carlos Monzón, el segundo juicio, Hasta la victoria siempre",Otros premios
Elio Marchi,-1,Reparto,"El amor es una mujer gorda, La neutrónica explotó en Burzaco, El hombre que ganó la razón",No tiene premios
Arturo Bonín,1943,Reparto,"Rebelde Way, Amor mío, Vidas robadas",No tiene premios
Luis Luque,1956,Reparto. Banda sonora,"El puntero, El gato desaparece, Tiempo de valientes",Otros premios
Héctor Malamud,-1,Reparto,"Los inmortales II: El desafío, Rebelde Way, Historias Breves 2",No tiene premios
Arturo Maly,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección,"Tiempo de revancha, Muñeca brava, Compromiso",Otros premios
Fernán Mirás,1969,Reparto. Dirección. Guion,"El peso de la ley, Casi muerta, Tango feroz: la leyenda de Tanguito",Otros premios
Leonardo Sbaraglia,1970,Reparto. Banda sonora,"Dolor y gloria, Era el cielo, Intacto",Otros premios
Ewa Fröling,1952,Reparto,"Millennium 1: Los hombres que no amaban a las mujeres, Fanny y Alexander, Sally och friheten",Otros premios
Mark Womack,1961,Reparto,"Playing the Field, Hearts and Minds, Pan comido",No tiene premios
Ingeborga Dapkunaite,1963,Reparto. Banda sonora,"Siete años en el Tíbet, Mission: Impossible, Hannibal, el origen del mal",Otros premios
Märta Laurent,-1,Reparto,"Herra Lahtinen lähtee lipettiin, Pimeänpirtin hävitys, Letters from the East",No tiene premios
Rein Oja,-1,Reparto. Dirección de casting. Equipos adicionales,"Morden i Sandhamn, Ramona, Hamilton",No tiene premios
Mikk Mikiver,-1,Reparto. Dirección. Equipos adicionales,"'Hukkunud Alpinisti' hotell, Brillianty dlya diktatury proletariata, Indrek",Otros premios
Gertrud Talvik,-1,Reparto,Letters from the East,No tiene premios
Gerli Nurmsalu,-1,Reparto,Letters from the East,No tiene premios
Laura Künnapas,-1,Reparto,Letters from the East,No tiene premios
Nicholas Le Prevost,1947,Reparto. Banda sonora,"Shakespeare in Love (Shakespeare enamorado), Testamento de juventud, Up the Garden Path",Otros premios
Serge Avedikian,-1,Reparto. Dirección. Guion,"Paradzhanov, Celui qu'on attendait, Chienne d'histoire",Otros premios
Nora Armani,-1,Reparto. Producción. Guion,"Absolute Dominion, The Blacklist: Redemption, I Am Gitmo",No tiene premios
Frunze Dovlatyan,-1,Reparto. Dirección. Guion,"Barev, yes em, Yerevanyan oreri khronikan, Saroyan yeghbayrnere",Otros premios
Karen Dzhanibekyan,-1,Reparto,"Gaghtni khorhrdakane, Trinadtsatyy apostol, Baghdasare bazhanvum e knojits",No tiene premios
Levon Sharafyan,1947,Reparto. Cámara y electricidad. Dirección de la segunda unidad o asistencia a dirección,"Aram, Aram, Astghayin amar, Betrayal",Otros premios
Manana Melkonyan,-1,Reparto. Assistant,"Dalnoboyshchiki, Labirintos, Zhamkete yot or",No tiene premios
Mikael Dovlatyan,-1,Dirección. Reparto. Guion,"La vallée de la lune, Demqov depi pate, Our Yard",No tiene premios
A. Matrashyan,-1,Reparto,Labirintos,No tiene premios
Edik Gasparyan,-1,Reparto,"Honest Thieves, Labirintos, Khent hreshtak",No tiene premios
Ara Mkrtumyan,-1,Reparto,"Labirintos, Demqov depi pate",No tiene premios
Ted Danson,1947,Reparto. Producción. Banda sonora,"Cheers, The Good Place, Fuego en el cuerpo",Ganó 2 premios Primetime Emmy
Joely Richardson,1965,Reparto. Producción. Banda sonora,"Nip/Tuck, a golpe de bisturí, El patriota, 101 dálmatas (¡Más vivos que nunca!)",Otros premios
Ian Holm,1931,Reparto. Animación. Equipos adicionales,"El señor de los anillos: La comunidad del anillo, El señor de los anillos: El retorno del rey, Brazil",Nominado para 1 premio Óscar
Harris Yulin,1937,Reparto,"Los Cazafantasmas II, Peligro inminente, Training Day (Día de entrenamiento)",Nominado para 1 premio Primetime Emmy
James Frain,1968,Reparto,"Los Tudor, True Blood, Tron: Legacy",Otros premios
Keith Allen,1953,Reparto. Dirección. Guion,"Los otros, 24 Hour Party People, Kingsman: El círculo de oro",Otros premios
Nick Brimble,1944,Reparto,"Robin Hood: Príncipe de los ladrones, Destino de caballero, Dos chiflados en remojo",No tiene premios
Kirsty Graham,-1,Reparto,Lago Ness,No tiene premios
Harry Jones,-1,Reparto,"Furia de titanes, Las amistades peligrosas, Los Teleñecos en La isla del tesoro",No tiene premios
Philip O'Brien,-1,Reparto,"Batman, Carros de fuego, Rescate en el mar del Norte",No tiene premios
Eric Roberts,1956,Reparto. Producción. Banda sonora,"El tren del infierno, Puro vicio, El caballero oscuro",Nominado para 1 premio Óscar
Lisa Thornhill,1966,Reparto,"Family Man, El gran golpe, Veronica Mars",No tiene premios
Jason Gedrick,1965,Reparto. Dirección. Guion,"Luck, Bosch, Dexter",Otros premios
Jack Betts,1929,Reparto,"Spider-Man, Un día de furia, Asesinato en 8 mm",Otros premios
Michael Mantell,-1,Reparto,"Un poderoso viento, Los idus de marzo, Secretary",Otros premios
Jennie Garth,1972,Reparto. Producción. Guion,"Sensación de vivir, Lo que me gusta de ti, Secret Santa",Otros premios
Jim Fyfe,-1,Reparto. Guion. Cámara y electricidad,"Agárrame esos fantasmas, Expediente X, Los tiradores solitarios",No tiene premios
Stephen Tobolowsky,1951,Reparto. Guion. Dirección,"Atrapado en el tiempo, Arde Mississippi, Thelma & Louise",Otros premios
Sadie Stratton,-1,Reparto,"Underground, Oppenheimer, Westworld",No tiene premios
Leslie Bega,-1,Reparto. Equipos adicionales. Banda sonora,"Los Soprano, Cómo conquistar Hollywood, Los primeros de la clase",Otros premios
Martin Barraza,-1,Dirección. Producción. Dirección de la segunda unidad o asistencia a dirección,"Háblame de amor, Pobre Diabla, Tres veces Sofía",No tiene premios
Arturo Beristáin,-1,Reparto,"El castillo de la pureza, La otra virginidad, El atentado",Otros premios
Rosa María Bianchi,1948,Reparto,"Yo no creo en los hombres, Nicotina, Amores perros",Otros premios
Juan Carlos Colombo,-1,Reparto,"Cronos, Peligro inminente, La ley de Herodes",Otros premios
Dobrina Cristeva,-1,Reparto,"Querida enemiga, En nombre del amor, Retrato de familia",No tiene premios
Emilio Ebergenyi,-1,Reparto,"Chido Guan, el tacos de oro, Los vuelcos del corazón, El imperio de la fortuna",No tiene premios
Ignacio Guadalupe,1960,Reparto. Guion,"Los tres entierros de Melquiades Estrada, Vidas errantes, Dirt",Otros premios
Ernesto Gómez Cruz,1933,Reparto,"El imperio de la fortuna, El callejón de los milagros, El crimen del padre Amaro",Otros premios
Luisa Huertas,1951,Reparto,"La máscara del Zorro, El crimen del padre Amaro, ¡Han llegado!",Otros premios
Gerardo Martínez,-1,Reparto,"Ravenous, Strange Events 2, S.W.A.T.: Los hombres de Harrelson",No tiene premios
Eric Roberts,1956,Reparto. Producción. Banda sonora,"El tren del infierno, Puro vicio, El caballero oscuro",Nominado para 1 premio Óscar
Gregory Harrison,1950,Reparto. Producción. Dirección,"Trapper John, M.D., Picnic, Razorback: Los colmillos del infierno",Otros premios
Margaret Cho,1968,Reparto. Producción. Guion,"Margaret Cho: PsyCHO, Rockefeller Plaza, All-American Girl",Nominado para 1 premio Primetime Emmy
Bruce Davison,1946,Reparto. Dirección. Producción,"X-Men, 1923, Compañeros inseparables",Nominado para 1 premio Óscar
Lee Grant,1925,Reparto. Dirección. Guion,"En el calor de la noche, Mulholland Drive, La maldición de Damien",Ganó 1 premio Óscar
Devon Gummersall,-1,Reparto. Dirección. Guion,"Nashville, El secreto de la casa Blake, Es mi vida",Otros premios
Marlee Matlin,1965,Reparto. Producción. Dirección,"CODA: Los sonidos del silencio, Hijos de un dios menor, Ley y orden: Unidad de Víctimas Especiales",Ganó 1 premio Óscar
Roddy McDowall,1928,Reparto. Producción. Dirección,"Noche de miedo, ¡Qué verde era mi valle!, Cleopatra",Ganó 1 premio Primetime Emmy
Olivia Newton-John,1948,Music Artist. Reparto. Música,"Grease, Xanadú, Tal para cual",Otros premios
Bronson Pinchot,1959,Reparto. Banda sonora,"Amor a quemarropa, Superdetective en Hollywood, Risky Business",Nominado para 1 premio Primetime Emmy
Sam Bould,-1,Edición. Reparto. Edición,"El fin del romance, Tras el silencio, Devil May Care",Otros premios
Martin Donovan,-1,Reparto. Dirección. Guion,"The Apprentice, Big Little Lies, Tenet",Otros premios
Ian Hart,1964,Reparto. Guion. Equipos adicionales,"Harry Potter y la piedra filosofal, Backbeat, Enemigo público",Otros premios
Joely Richardson,1965,Reparto. Producción. Banda sonora,"Nip/Tuck, a golpe de bisturí, El patriota, 101 dálmatas (¡Más vivos que nunca!)",Otros premios
Jason Flemyng,1966,Reparto. Producción. Dirección,"El curioso caso de Benjamin Button, Lock & Stock, Deep Rising: El misterio de las profundidades",Otros premios
Shaheen Khan,-1,Reparto. Guion,"Quiero ser como Beckham, Conocerás al hombre de tus sueños, It's a Wonderful Afterlife",Otros premios
Kelly Hunter,1963,Reparto. Banda sonora,"The hole, Los miserables: La leyenda nunca muere, La feria de las vanidades",No tiene premios
Tim Crouch,-1,Reparto. Guion. Arte,"Mile High, I Cinna, I Cinna (I)",No tiene premios
Jane Hill,-1,Reparto,"Vaya par de idiotas, Tras el silencio, Olga's Girls",No tiene premios
Glen Hammond,-1,Reparto,Tras el silencio,No tiene premios
Arcelia Ramírez,1967,Reparto. Guion. Producción,"Verónica, No se aceptan devoluciones, De frente al sol",Otros premios
Demián Bichir,1963,Reparto. Producción. Dirección,"Los odiosos ocho, Una vida mejor, Machete Kills",Nominado para 1 premio Óscar
Germán Dehesa,-1,Reparto. Guion. Producción,"Cilantro y perejil, El show de Eduardo II, Fuera de cuadro",Otros premios
Rodolfo Arias,-1,Reparto. Banda sonora,"Un embrujo, Sólo con tu pareja, Como agua para chocolate",Otros premios
Maya Mishalska,-1,Reparto,"El jugador, Novia que te vea, Cuidado con el ángel",Otros premios
Juan Manuel Bernal,1967,Reparto. Producción. Equipos adicionales,"Lazos de amor, Confesiones, Obediencia perfecta",Otros premios
Alpha Acosta,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección,"Morelia, Días de combate, Absuelto para matar",Otros premios
Angélica Aragón,1953,Reparto. Banda sonora,"El crimen del padre Amaro, Un paseo por las nubes, La casa al final de la calle",Otros premios
Alfredo Sevilla,-1,Reparto,"Redondo, La hija de Moctezuma, La Teniente",Otros premios
Leticia Huijara,1967,Reparto. Guion,"La ley de Herodes, Lola, Por si no te vuelvo a ver",Otros premios
Yancy Butler,1970,Reparto. Producción,"Kick Ass 2: Con un par, Blanco humano, La espada de la hechicera",Otros premios
Matt McCoy,1956,Reparto. Producción. Equipos adicionales,"La mano que mece la cuna, Jack Ryan, Silicon Valley",No tiene premios
John Ashton,1948,Reparto. Banda sonora,"Superdetective en Hollywood: Axel F., Consiguiendo autenticidad, Huida a medianoche",Otros premios
Trevor Goddard,1962,Reparto,"Mortal Kombat, Piratas del Caribe: La maldición de la Perla Negra, Deep Rising: El misterio de las profundidades",Otros premios
Andy Romano,1936,Reparto,"Alerta máxima, Una mujer en la liga, Alerta máxima 2",No tiene premios
Jacob Witkin,1938,Reparto,"¡Ave, César!, Star Wars: Jedi Knight - Dark Forces II, La última noche de Boris Grushenko",No tiene premios
Naomi,-1,Reparto,"Dinero sucio, Frasier, Medias de seda",No tiene premios
Roy Werner,-1,Reparto. Producción,"The Nutty Professor (El profesor chiflado), Firefly, Ángel",No tiene premios
Merritt Yohnka,-1,Especialistas. Reparto. Dirección de la segunda unidad o asistencia a dirección,"Minority Report, Spider-Man, Están vivos",Ganó 2 premios Primetime Emmy
Ron Johnson,-1,Reparto,"Top Dog: El perro sargento, Dinero sucio, El hombre invisible",No tiene premios
Chiara Mastroianni,1972,Reparto. Banda sonora,"Persépolis, Pret-a-porter, Les chansons d'amour",Otros premios
Melvil Poupaud,1973,Reparto. Dirección. Guion,"Laurence Anyways, Speed Racer, El tiempo que queda",Otros premios
Hubert Saint-Macary,-1,Reparto,"The Bourne Identity: El caso Bourne, Indochina, L'histoire du samedi",Otros premios
Serge Merlin,-1,Reparto,"Amélie, La ciudad de los niños perdidos, Danton",No tiene premios
Mathieu Amalric,1965,Reparto. Dirección. Guion,"La escafandra y la mariposa, El gran hotel Budapest, Múnich",Otros premios
Danièle Dubroux,-1,Dirección. Reparto. Guion,"Border Line, Soeur Anne ne vois-tu rien venir?, Les amants terribles",Otros premios
Jean-Pierre Léaud,1944,Reparto. Dirección de la segunda unidad o asistencia a dirección. Dirección,"Los cuatrocientos golpes, Contraté un asesino a sueldo, Masculino, femenino",Nominado a 1 premio BAFTA
Micheline Presle,1922,Reparto. Banda sonora,"Una esposa para dos, Venganza del destino, Falbalas",Otros premios
Jacques Nolot,1943,Reparto. Guion. Dirección,"La chatte à deux têtes, L'arrière pays, Avant que j'oublie",Otros premios
Denis Podalydès,1963,Reparto. Equipos adicionales. Guion,"De Nicolas a Sarkozy, Caché (Escondido), Jeanne y el chico formidable",Otros premios
Shirley Blanco,-1,Reparto,"Foreign Bodies, Boozecan",No tiene premios
Gerry Mendicino,1950,Reparto. Efectos visuales,"Mi gran boda griega, Mi gran boda griega 2, El caso Slevin",No tiene premios
Gigi De Leon,-1,Reparto,"Andrómeda, FlashForward, El autoestopista",No tiene premios
Margaret Ma,-1,Reparto,"American Psycho, Mimic, M. Butterfly",No tiene premios
Von Flores,1960,Reparto. Guion. Producción,"Johnny Mnemonic, La Tierra: conflicto final, Tráfico humano",No tiene premios
Ann Chiu,-1,Reparto,"Un mundo a su medida, Foreign Bodies, El señor de las tinieblas",No tiene premios
Shelly Hong,-1,Producción. Reparto. Dirección,"Note to Self, Mother Tongue (April Park, Shelly J. Hong), Lilly",Otros premios
M.J. Kang,-1,Reparto. Especialistas,"P.C.U., Juegos criminales, Tripulación perdida",No tiene premios
Carol Ng,-1,Reparto,"Desmadre sobre ruedas, Mas allá de la realidad, La familia stupid",No tiene premios
Paul Rawson,-1,Reparto. Dirección. Producción,"Defunct, Kyle in Denial, Good Luck with That",No tiene premios
Richard E. Grant,1957,Reparto. Dirección. Guion,"Gosford Park, ¿Podrás perdonarme algún día?, El gran Halcón",Nominado para 1 premio Óscar
Lynsey Baxter,1959,Reparto. Dirección. Guion,"La mujer del teniente francés, Los mejores años de Miss Brodie, Real Life",Otros premios
Perdita Weeks,1985,Reparto. Dirección. Banda sonora,"Así en la tierra como en el infierno, Hamlet de Kenneth Branagh, Ready Player One",No tiene premios
Simon Cadell,-1,Reparto,"Orejas largas, The Cold Light of Day, Enemy at the Door",Otros premios
Thom Hoffman,1957,Reparto. Dirección. Guion,"Zwartboek, El cuarto hombre, Het wassende water",Otros premios
James Laurenson,1940,Reparto. Banda sonora,"Boney, One Day (Siempre el mismo día), La sombra del poder",Otros premios
Heathcote Williams,-1,Reparto. Guion. Dirección,"Instinto básico 2. Adicción al riesgo, City of Ember: En busca de la luz, La leyenda del pianista en el océano",No tiene premios
Roger Sloman,-1,Reparto. Banda sonora,"Seducción peligrosa, Bird of Prey, Rojos",No tiene premios
Gerard Thoolen,-1,Reparto. Guion,"De mannetjesmaker, De ijssalon, De illusionist",Otros premios
Elizabeth McKechnie,-1,Reparto. Producción. Guion,"Creep, Miedo Punto Com, The Tripods",No tiene premios
Luke Perry,1966,Reparto. Producción. Dirección,"Sensación de vivir, El quinto elemento, Buffy, la cazavampiros",Otros premios
Francie Swift,1969,Reparto,"Amor con preaviso, Vaya par de polis, Purasangre",Otros premios
Gia Carides,1964,Reparto. Dirección. Producción,"Mi gran boda griega, El amor está en el aire, Stick It",Otros premios
Gary Basaraba,1959,Reparto. Guion,"Los asesinos de la luna, Sound of Freedom, El irlandés",Otros premios
Jack Gilpin,1951,Reparto,"21: Black Jack, Adventureland, Golpe de efecto",Otros premios
LisaGay Hamilton,1964,Reparto. Dirección. Producción,"El abogado, Ejecución inminente, Jackie Brown",Otros premios
David Margulies,1937,Reparto,"Los Cazafantasmas, Los Cazafantasmas II, Ace Ventura: Un detective diferente",No tiene premios
Matt McGrath,1969,Reparto,"El club de los corazones rotos, Boys Don't Cry, Rebelión en las ondas",Otros premios
Hillary B. Smith,1957,Reparto. Producción. Dirección,"Sólo se vive una vez, Venice the Series, Sucedió en Manhattan",Otros premios
Karen Shallo,-1,Reparto,"Los productores, Private School, Érase una vez en América",No tiene premios
Suzy Nakamura,1973,Reparto. Producción,"Larry David (Curb Your Enthusiasm), Modern Family, Dead to Me",No tiene premios
James Sie,-1,Reparto. Sonido. Equipos adicionales,"Pequeñas historias zen, Jackie Chan Adventures, Avatar. La leyenda de Aang",Otros premios
