Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Shivam,"5,1",,,No disponible,tt0130255
The Good War,"5,9",,,No disponible,tt0149253
The Bacchae,"6,7",,,No disponible,tt0154187
Men in Black II (Hombres de negro II),"6,2",Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon, Barry Fanaro",El agente J es enviado para encontrar al agente K y devolverle la memoria tras la reapariciÃfÂ³n de un caso del pasado de K.,tt0120912
Trance,"5,2",Gary Dean Orona,"Tane Mc, ClureGary Dean,  OronaTyke Caravelli","Trapped in a lover's triangle of lust, greed, and betrayal we follow one woman's journey to discover her true self... Magic, where everything is an Illusion... and nothing is as it seems.",tt0120870
Flophouse,"2,6",,,No disponible,tt0128216
Book of Love: The Definitive Reason Why Men Are Dogs,"5,6",,,No disponible,tt0156376
Clockstoppers,"5,2",Jonathan Frakes,"Rob Hedden, Andy Hedden, J. David Stem",Zak Gibbs (Jesse Bradford) es un adolescente normal y corriente que de repente recibe unos poderes extraordinarios cuando se encuentra un misterioso artilugio en forma de reloj de pulsera ¡capaz de detener el tiempo!,tt0157472
Spooky House,"5,2",William Sachs,"Margaret Sachs, William Sachs","Max is a lonely, recently orphaned young boy who is frequently bullied by his classmates. One night after accepting a dare, Max wanders into a mysterious mansion, where he meets the Great Zamboni, an eccentric magician.",tt0160905
Easter,"7,8",,,No disponible,tt0160240
Star Wars: Episodio II - El ataque de los clones,"6,6",George Lucas,"George Lucas, Jonathan Hales","Tras diez años de su primer encuentro, Anakin Skywalker y Padmé Amidala disfrutan de un romance prohibido, mientras Obi-Wan Kenobi investiga el intento de asesinato de un senador y descubre una armada secreta de clones creada por los jedi.",tt0121765
Resident Evil,"6,6",Paul W.S. Anderson,Paul W.S. Anderson,Una unidad militar especial lucha contra un poderoso superordenador fuera de control y contra cientos de científicos que han mutado en criaturas carnívoras tras un accidente en un laboratorio.,tt0120804
Spider-Man,"7,4",Sam Raimi,"Stan Lee, Steve Ditko, David Koepp","Al ser mordido por una araña modificada genéticamente, un chico de instituto tímido y estudioso adquiere habilidades de araña que al final tendrá que usar para luchar contra el mal como un superhéroe tras una tragedia familiar.",tt0145487
Last Fair Deal,"5,3",,,No disponible,tt0151299
El planeta del tesoro,"7,2",Ron ClementsJohn Musker,"Robert Louis,  StevensonRon Clements, John Musker","Jim Hawkins es un adolescente rebelde al que el mundo considera un vago sin rumbo. Tras recibir un mapa de un pirata moribundo, se embarca en una odisea por el universo para encontrar un tesoro.",tt0133240
Rolo y el secreto del guisante,"6,3",,,No disponible,tt0146063
Interstate 60: Episodios de carretera,"7,5",Bob Gale,Bob Gale,"Neal Oliver, un joven muy confundido, emprende el viaje de su vida en una autopista que no existe en ninguno de los mapas, yendo a lugares de los que ni siquiera había oído hablar, buscando una respuesta y su chica soñada.",tt0165832
El señor de los anillos: Las dos torres,"8,8",Peter Jackson,"J.R.R. TolkienFran Walsh, Philippa Boyens","Mientras Frodo y Sam se acercan a Mordor con la ayuda del astuto Gollum, la comunidad dividida se enfrenta al nuevo aliado de Sauron, Saruman, y a sus hordas de Isengard.",tt0167261
La balsa de piedra,"5,8",,,No disponible,tt0175203
Legend of the Phantom Rider,"4,8",Alex Erkiletian,"Alex Erkiletian, Robert Mc, Ray",Two ancient entities reincarnated through the centuries face off time and again for an innocent soul.,tt0210223
Blade II,"6,7",Guillermo del Toro,"Marv Wolfman, Gene Colan, David S. Goyer","Blade forma una incómoda alianza con el consejo de vampiros para combatir a los reapers, que se alimentan de vampiros.",tt0187738
Piñata: Survival island,"2,5",,,No disponible,tt0201844
Halloween: Resurrection,"3,9",Rick Rosenthal,"Debra Hill, John Carpenter, Larry Brand","Tres años después de haber aterrorizado a su hermana, Michael Myers la confronta nuevamente, antes de viajar a Haddonfield para tratar con el elenco y el equipo de un reality show que se está transmitiendo desde su antigua casa.",tt0220506
Daybreak,"7,7",,,No disponible,tt0128154
Minority Report,"7,6",Steven Spielberg,"Scott Frank, Jon Cohen, Philip K. Dick","En un futuro donde una unidad especial de la policía puede arrestar a asesinos antes de que cometan sus delitos, un oficial de esa unidad es acusado de un futuro asesinato.",tt0181689
Dead Man's Dream,"7,3",,,No disponible,tt0184387
Falsa amistad,"5,2",Zoe Clarke-Williams,Victoria Strouse,Un sheriff investiga la sobredosis de drogas casi fatal de una estudiante universitaria y descubre muchos detalles sórdidos de su vida antes y durante su descenso a las drogas y el libertinaje.,tt0191074
Last Seen,"5,7",,,No disponible,tt0220607
The Salton Sea,"7,0",D.J. Caruso,Tony Gayton,"Después de un trágico incidente, un hombre se adentra en un mundo poblado por matones y adictos a la velocidad.",tt0235737
Florida City,"5,0",Ralph Clemente,"Stephen Bowles, Peter A. Zorn Jr, .","When a young Japanese woman is found murdered outside a small Florida town in December of 1941, hard-drinking police chief John Haleran sets out to unravel the mystery. A trail of cryptic clues leads him to a nearby U.S. military base, where he learns that what appears to be a simple homicide is actually far more ominous. In fierce pursuit of the truth and unwittingly... Leer todo",tt0241453
Tangoed Lives,No disponible,,,No disponible,tt0139479
Duty Dating,"4,4",,,No disponible,tt0160239
Quimera,"6,1",John Walsh,"John Walsh, Cynthia Kaplan","A lonely plumber poses as a director to meet women, and the writer whose script he's stolen builds on his ruse to get her movie made.",tt0164810
Balas en el desierto,"6,0",,,No disponible,tt0167116
El compromiso (Moonlight Mile),"6,6",Brad Silberling,Brad Silberling,"Mientras lidia con la muerte de su prometida, un joven se hace amigo de los padres de ella y debe averiguar qué quiere de la vida.",tt0179098
Crossing the Rubicon,No disponible,,,No disponible,tt0181430
D-Tox (Ojo asesino),"5,3",Jim Gillespie,"Howard Swindle, Ron L. Brinkerhoff",A un detective que está siendo acosado por un asesino en serie se le pide que se registre en una clínica que trata a los agentes de la ley que no pueden hacer frente a sus trabajos.,tt0160184
Pánico nuclear,"6,5",Phil Alden Robinson,"Tom Clancy, Paul Attanasio, Daniel Pyne","El analista de la CIA Jack Ryan debe detener los planes de una facción neonazi que amenaza con incitar conflicto entre los EE. UU. y el nuevo presidente ruso al detonar un arma nuclear en un partido de fútbol en Baltimore, Maryland.",tt0164184
La ciudad de los fantasmas,"5,9",Matt Dillon,"Matt Dillon, Barry Gifford","Un estafador viaja a Camboya para cobrar su parte en una estafa de seguros, pero descubre más de lo que esperaba.",tt0164003
A Mulher Polícia,"5,1",,,No disponible,tt0119727
American Reel,"6,9",Mark Archer,"Junior Burke, Scott Fivelson",The story of an overnight success - twenty years in the making...,tt0140806
One Last Dance,"5,3",Lisa Niemi,"Lisa Niemi, Kevin Bernhardt","A raíz de la tragedia, una compañía de danza de Nueva York está al borde del colapso. Después de dejar la danza para siempre, Travis, Chrissa y Max tienen una última oportunidad de volver y demostrar que los milagros pueden suceder.",tt0157191
Cold Mountain,"7,2",Anthony Minghella,"Charles Frazier, Anthony Minghella","En los últimos días de la Guerra Civil Americana, un soldado herido se embarca en un peligroso viaje de regreso a su casa en Cold Mountain, Carolina del Norte, para reunirse con su novia.",tt0159365
El señor de los anillos: El retorno del rey,"9,0",Peter Jackson,"J.R.R. TolkienFran Walsh, Philippa Boyens","Gandalf y Aragorn lideran el mundo de los hombres contra la armada de Sauron para distraer su atención de Frodo y Sam, quienes se aproximan al Monte del Destino con el Anillo Único.",tt0167260
Baggage,"6,5",,,No disponible,tt0169579
The Fighting Temptations,"5,6",Jonathan Lynn,"Elizabeth Hunter, Saladin K. Patterson",A New York advertising executive travels to a small Southern town to collect an inheritance but finds he must create a gospel choir and lead it to success before he can collect.,tt0191133
Jersey Guy,"5,5",,,No disponible,tt0191211
Remembering Mario,"6,3",,,No disponible,tt0117461
"Las apariencias engañan, a veces","4,9",,,No disponible,tt0120607
Dominator,"4,1",,,No disponible,tt0135991
Crueldad intolerable,"6,3",Joel CoenEthan Coen,"Robert Ramsey, Matthew Stone, John Romano","Miles, un exitoso abogado de divorcios, se siente atraído por Marylin, la futura ex-esposa de su cliente. Todo cambia cuando ella promete venganza contra el abogado y su esposo.",tt0138524
Nobody Knows Anything!,"3,3",William Tannen,David Pasquesi,"In this comedy about Hollywood, Sarah thinks making a movie is easy. With the guidance of her screenwriter uncle, she goes on a wild journey into the world of Hollywood where she meets crazy studio execs, insane producers and a gangster who agrees to finance her film - for a price...",tt0142634
St. Andrew's Girls,"3,9",,,No disponible,tt0156100
Simbad: La leyenda de los siete mares,"6,7",Patrick GilmoreTim Johnson,John Logan,"El marinero de leyenda es inculpado por la diosa Eris por el robo del Libro de la Paz, y debe viajar a su reino en el fin del mundo para recuperarlo y salvar la vida de su amigo de la infancia, el príncipe Proteo.",tt0165982
Dos policías rebeldes II,"6,6",Michael Bay,"George Gallo, Marianne Wibberley, Cormac Wibberley",Dos policías de narcóticos investigan el flujo de éxtasis en Florida de un cártel de drogas cubano.,tt0172156
Terminator 3: La rebelión de las máquinas,"6,3",Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian",Una máquina de un futuro postapocalíptico viaja al pasado para proteger a un hombre y a una mujer de un avanzado asesino robótico y asegurarse de que ambos sobrevivan a un ataque nuclear.,tt0181852
Una buena noche para morir,"4,6",Craig Singer,"Robert Dean,  Klein","Ronnie, un experimentado pistolero de Nueva York tiene uno de aquellos días. Su protegido August, un matón de barrio, tiene la mala costumbre de hacer enfadar siempre a la gente equivocada - y hoy todo el mundo quiere verlo muerto.",tt0203536
Den hemlige riddaren II: Återkomsten,"4,3",,,No disponible,tt0218326
Road Dogs,"6,4",,,No disponible,tt0232537
Silver Man,"4,3",,,No disponible,tt0217802
Pumuckl und sein Zirkusabenteuer,"5,5",,,No disponible,tt0237622
El monje,"5,5",Paul Hunter,"Ethan Reiff, Cyrus Voris",Un monje tibetano se convierte en mentor de un joven de la calle y trata de enseñarle a proteger el pergamino del poder supremo de una organización secreta nazi empeñada en dominar el mundo.,tt0245803
Atajo a la felicidad,"5,4",Alec Baldwin,"Stephen Vincent,  BenetArchibald Macleish, Peter Dexter",A down-and-out writer sells his soul to the Devil in exchange for fame and fortune.,tt0263265
Beyond Re-Animator,"5,7",,,No disponible,tt0222812
The Invitation,"4,3",,,No disponible,tt0248110
La casa de los 1000 cadáveres,"6,0",Rob Zombie,Rob Zombie,Dos jóvenes parejas que viajan por Texas buscando macabras leyendas urbanas acaban cautivos a manos de una familia de sádicos asesinos en serie.,tt0251736
Subterano,"3,9",Esben Storm,Esben Storm,"Eleven souls, trapped in an underground carpark, are attacked by deadly, remote controlled toys. Only a few will survive.",tt0255623
Dorian,"3,8",,,No disponible,tt0258534
En carne viva,"5,4",Jane Campion,"Jane Campion, Susanna Moore, Stavros Kazantzidis","La neoyorkina Frannie Avery, profesora de redacción, tiene una aventura con un detective de la policía que investiga el asesinato de una hermosa joven de su vecindario.",tt0199626
The Accidental Detective,"5,9",,,No disponible,tt0244379
La collezione invisibile,"6,7",,,No disponible,tt0262156
Basic,"6,4",John McTiernan,James Vanderbilt,Un agente de la DEA investiga la desaparición de un legendario sargento instructor de los Rangers del ejército y de varios de sus cadetes durante un ejercicio de entrenamiento que salió terriblemente mal.,tt0264395
Vera,"5,9",,,No disponible,tt0274193
Osmose,"5,9",,,No disponible,tt0195119
Venus on the Halfshell,"7,4",,,No disponible,tt0214275
Finding Home,"5,3",,,No disponible,tt0228301
El lenguaje de los sueños,"6,5",Guy Jenkin,Guy Jenkin,A young Englishman is sent to Malaysian Borneo in the 1930s to stay with a tribe as UK's colonial representative. A local woman (J.Alba) helps him understand local tradition and language. He falls in love with her etc. despite the taboo.,tt0242888
Silent Screamplay,"5,2",,,No disponible,tt0160870
Pasado oculto,"4,6",,,No disponible,tt0201934
Terror in the Darkness,"4,2",,,No disponible,tt0215244
How It All Went Down,"4,0",Silvio Pollio,"Silvio Pollio, Danny Wattley","A struggling filmmaker finds himself involved in a dark world of guns, drugs and prostitution.",tt0243652
En tres y dos,"6,6",,,No disponible,tt0092960
"Goodnight, Joseph Parker","5,7",Dennis Brooks,Dennis Brooks,"""Unapologetically brash in dialogue and texture GOODNIGHT JOSEPH PARKER is the classic love story brought to a no-pleasantries bar room. Girl loves man who loves woman, woman isn't worth his time. Into that mix throw in a hopeless drunk with a good heart and weak stomach, a bartender who's more desperate than his customers and Steven Tyler as a shameless bad boy looki... Leer todo",tt0146803
Bluebird,"7,4",,,No disponible,tt0159290
El Maya,"6,9",,,No disponible,tt0168064
El resto de nada,"6,8",,,No disponible,tt0170508
Greener,"7,7",,,No disponible,tt0186785
Olga,"6,5",,,No disponible,tt0196811
El caldero de los pecados,"5,3",,,No disponible,tt0203912
Tricks,"7,1",,,No disponible,tt0211070
West from North Goes South,"8,0",,,No disponible,tt0108549
Manual del Serial Killer para principiantes,"5,2",,,No disponible,tt0122247
Thunderbirds,"4,3",,,No disponible,tt0167456
A Night at Sophie's,"7,5",,,No disponible,tt0169084
Kebab Connection,"6,6",,,No disponible,tt0177882
Meri Biwi Ka Jawab Nahin,"3,5",,,No disponible,tt0187279
29 and Holding,"8,6",,,No disponible,tt0198013
B Movie,"7,2",,,No disponible,tt0220322
Split,"5,3",,,No disponible,tt0131597
Hellboy,"6,8",Guillermo del Toro,"Guillermo del ToroPeter Briggs, Mike Mignola","Un demonio, criado desde la infancia tras ser conjurado y rescatado de los nazis, crece hasta convertirse en un defensor de las fuerzas de la oscuridad.",tt0167190
Vampire Lesbian Kickboxers,"8,1",,,No disponible,tt0235853
Indiano Jones y el agua de la eternidad,"6,3",,,No disponible,tt0239235
Warrior Sisters,"7,7",,,No disponible,tt0205513
Raspberry & Lavender: The Lavender Girl,"6,3",,,No disponible,tt0222790
Berserker,"3,1",Paul Matthews,Paul Matthews,El hijo de un caudillo está maldito a renacer una vida tras otra y destinado a amar y perder hasta que se levante la maldición.,tt0264410
Off the Pages,No disponible,,,No disponible,tt0286857
Mothers Little Murderer,No disponible,,,No disponible,tt0293708
Shrek 2,"7,3",Andrew AdamsonKelly AsburyConrad Vernon,"William Steig, Andrew Adamson, Joe Stillman","Shrek y Fiona viajan al reino de Muy Muy Lejano, donde los padres de Fiona son reyes, para celebrar su matrimonio. Cuando llegan, descubren que no son tan bienvenidos como pensaban.",tt0298148
Frost,"5,2",,,No disponible,tt0202360
El exorcista: El comienzo,"5,1",Renny Harlin,"William Peter,  BlattyWilliam Wisher, Caleb Carr","Años antes de que el padre Lankester ayudara a salvar el alma de Regan, se encuentra por primera vez con el demonio Pazuzu en África Oriental.",tt0204313
Habitaciones para turistas,"5,2",,,No disponible,tt0286669
